song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
White Christmas,Bing Crosby,34,48.0,12,15,2eae5395-ca70-4e12-afa3-3222fd685917,,,,,,,,,
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,35,42.0,35,2,ae9cd453-b841-4eae-bd92-418facb972ab,not_danceable,cla,female,not_aggressive,voice,112.358253479,G,0.40987443924,happy
Going Bad,Meek Mill Featuring Drake,36,22.0,6,4,87d28876-a4f9-44bc-9171-3c6dd19f3bc5,,,,,,,,,
A Lot,21 Savage,37,,37,1,39fb60ce-0c92-4e72-930b-cc6c2d4efcee,danceable,dan,female,not_aggressive,voice,146.027099609,F,0.94995445013,not_happy
Trip,Ella Mai,38,29.0,11,21,834fd36c-8813-49fe-8a30-ac0f7cf498bb,,,,,,,,,
I Like It,"Cardi B, Bad Bunny & J Balvin",39,40.0,1,38,ec3687e5-77a2-4b70-8691-c3e80abe8089,,,,,,,,,
Blue Christmas,Elvis Presley,40,,40,1,82961ef3-88a0-4ccb-915d-e61d5a54ede7,,,,,,,,,
Speechless,Dan + Shay,41,36.0,33,16,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,42,45.0,42,2,01f7a361-e2ee-44d6-abc8-2a26466a3347,,,,,,,,,
Christmas (Baby Please Come Home),Darlene Love,43,50.0,43,2,5abe7e5b-2aef-4b12-8a33-f6a02d2dc06f,not_danceable,rhy,female,not_aggressive,voice,126.536384583,D#,0.818255603313,happy
Underneath The Tree,Kelly Clarkson,44,,44,4,d9889899-4fce-4a79-8ef9-d37aea356638,,,,,,,,,
Run Rudolph Run,Chuck Berry,45,,45,4,f195fe53-db9a-429e-85ed-1e1242602ac9,,,,,,,,,
Natural,Imagine Dragons,46,43.0,13,23,f2cde891-c5e7-4579-b2ea-35382d8588a2,,,,,,,,,
Wow.,Post Malone,47,,47,1,112ff70c-7e9a-46df-9235-e82939575ad0,,,,,,,,,
Love Lies,Khalid & Normani,48,37.0,9,45,a5c11c65-acb7-4ee8-87de-e92f9cffbdf8,not_danceable,cla,male,not_aggressive,instrumental,135.859542847,G,0.670250713825,not_happy
Jingle Bells,Frank Sinatra,49,,49,1,ce6d7327-7a6b-45c6-bf38-996266544d03,not_danceable,cla,female,not_aggressive,instrumental,142.531036377,G#,0.812161684036,not_happy
Beautiful,Bazzi Featuring Camila Cabello,50,38.0,30,21,83b1d16a-25c3-4429-b06d-03c08db66679,not_danceable,cla,male,not_aggressive,instrumental,84.0190811157,G,0.626622319221,not_happy
Better,Khalid,51,39.0,29,15,9b8fe367-124f-4ead-a03c-d2d5b890c507,,,,,,,,,
Shallow,Lady Gaga & Bradley Cooper,52,44.0,5,13,baf7fd65-40bc-48be-a224-9c725f2b8f76,,,,,,,,,
Cozy Little Christmas,Katy Perry,53,68.0,53,2,27746a80-6914-439f-9774-1fc2e55b3110,danceable,rhy,female,not_aggressive,voice,137.655288696,C,0.844056665897,happy
