song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
I Heard It Through The Grapevine,Marvin Gaye,1,1.0,1,7,e61df9eb-8132-40c3-b898-08de47f40eca,,,,,,,,,
For Once In My Life,Stevie Wonder,2,2.0,2,10,9efdb106-4dde-4df8-9483-e1bfd0093489,danceable,jaz,female,not_aggressive,voice,108.897949219,A#,0.827656745911,not_happy
I'm Gonna Make You Love Me,Diana Ross And The Supremes & The Temptations,3,7.0,3,5,6e7db3b4-04f0-47e9-b246-5502e0b7c74a,,,,,,,,,
Soulful Strut,Young-Holt Unlimited,4,16.0,4,6,8bd0e16b-aefd-4c7b-abd8-c98e1677b01c,not_danceable,rhy,male,not_aggressive,voice,89.6971130371,A#,0.872257351875,happy
Wichita Lineman,Glen Campbell,5,4.0,4,10,0349ed15-7133-4cb6-a3e5-befb8d1e456c,,,,,,,,,
Cloud Nine,The Temptations,6,10.0,6,8,44528432-43fb-4307-963a-ba46f4b9a1e5,,,,,,,,,
Love Child,Diana Ross & The Supremes,7,3.0,1,12,4817ccff-18fb-4553-b261-f5df694aefc3,,,,,,,,,
Stormy,Classics IV Featuring Dennis Yost,8,5.0,5,11,985adb4c-e6d2-4997-85ba-fa5c66ae18e6,,,,,,,,,
Who's Making Love,Johnnie Taylor,9,8.0,5,11,c633896d-6b06-4236-a5b9-e3601e68c633,,,,,,,,,
Hooked On A Feeling,B.J. Thomas,10,13.0,10,8,81b6569f-14d0-41c1-954e-f3d79e087358,,,,,,,,,
I Love How You Love Me,Bobby Vinton,11,9.0,9,10,0d37948f-2c4b-490d-b65d-ce77f1585285,not_danceable,pop,male,not_aggressive,voice,152.832504272,A#,0.77354490757,happy
Cinnamon,Derek,12,12.0,12,11,8a219f88-6b7a-4cc8-8234-68b3874420b7,,,,,,,,,
Too Weak To Fight,Clarence Carter,13,23.0,13,9,bea2197f-66a8-4919-b760-84857b549e86,,,,,,,,,
Lo Mucho Que Te Quiero (The More I Love You),Rene & Rene,14,26.0,14,7,419f5748-4269-4e60-bd0e-ca736cdd2e52,,,,,,,,,
Going Up The Country,Canned Heat,15,20.0,15,5,18db6336-5bb7-4156-963c-9c9a71172821,not_danceable,rhy,female,not_aggressive,instrumental,162.41696167,A#,0.86390799284,happy
"Abraham, Martin And John",Dion,16,6.0,4,11,fe9e7c5b-e110-4608-9cb0-56f9cc12f824,,,,,,,,,
Crimson And Clover,Tommy James And The Shondells,17,28.0,17,4,e2026483-f77f-482f-b942-b3bb3b9a81c5,,,,,,,,,
Son-Of-A Preacher Man,Dusty Springfield,18,21.0,18,6,320e2761-c83f-4a08-961e-4197dfa5bae3,,,,,,,,,
Bring It On Home To Me,Eddie Floyd,19,17.0,17,12,9e3b83f3-1631-4d2d-beb0-7cf619ef3607,danceable,rhy,male,not_aggressive,voice,123.781219482,C,0.956165671349,happy
See Saw,Aretha Franklin,20,14.0,14,7,b467d117-bd98-46a0-99f9-619829af3f60,,,,,,,,,
Papa's Got A Brand New Bag,Otis Redding,21,24.0,21,6,1085e03e-d132-48ac-8da2-27ec2d668a8c,danceable,hip,female,not_aggressive,voice,131.715423584,D#,0.746437251568,not_happy
Both Sides Now,Judy Collins,22,11.0,8,9,21cf914d-6af5-4f92-ad2b-5e2e985595d8,,,,,,,,,
Hey Jude,The Beatles,23,15.0,1,17,a15c0aea-ac38-4c69-963e-0aac7940be03,,,,,,,,,
Magic Carpet Ride,Steppenwolf,24,18.0,3,14,453ddc4d-f8c2-406b-a14a-43dab56da555,not_danceable,rhy,female,not_aggressive,instrumental,110.215385437,E,0.621582686901,not_happy
