song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
Calling My Spirit,2019-03-16,Kodak Black,80,83.0,46,14,d8ff611d-b2d5-4808-be8a-ec9f40171cab,danceable,rhy,male,not_aggressive,voice,119.961242676,A#,0.340007573366,not_happy
Miss Me More,2019-03-16,Kelsea Ballerini,81,82.0,81,5,e386e906-803b-4477-9e7c-d41a83e8c8c9,,,,,,,,,
Armed And Dangerous,2019-03-16,Juice WRLD,82,79.0,44,17,80cbf2b8-3a77-40c9-9f3f-95010bbb6ff3,,,,,,,,,
Secreto,2019-03-16,Anuel AA & Karol G,84,92.0,68,5,78556904-b366-459c-9499-76aa2236ea73,danceable,rhy,female,not_aggressive,instrumental,92.005355835,G#,0.914119958878,happy
Whiskey Glasses,2019-03-16,Morgan Wallen,85,,85,1,fac61a09-4c85-4583-8786-ad7c41b00c48,danceable,roc,male,not_aggressive,voice,150.107376099,F#,0.960179388523,happy
Put A Date On It,2019-03-16,Yo Gotti Featuring Lil Baby,90,96.0,59,6,e5f7fed2-4c4e-432d-bb6b-d0d21d9e64cb,,,,,,,,,
Lovely,2019-03-16,Billie Eilish & Khalid,91,,64,18,1fc545d3-94b6-4a3d-bff3-bb8b861943d6,not_danceable,jaz,female,not_aggressive,voice,114.798667908,E,0.512330889702,happy
Needy,2019-03-16,Ariana Grande,92,60.0,14,4,430888c5-e38c-4b59-ab84-75f2cd9edf3e,not_danceable,rhy,female,not_aggressive,voice,87.3510131836,C,0.312796235085,happy
I Can't Get Enough,2019-03-16,"benny blanco, Tainy, Selena Gomez & J Balvin",93,,93,1,9613eccc-0925-4ce0-888c-048c50bc0848,,,,,,,,,
When The Party's Over,2019-03-16,Billie Eilish,95,,52,19,ba7a88da-f864-4ead-9a63-36f92d10de46,not_danceable,rhy,female,not_aggressive,voice,123.452804565,A,0.0136189134791,not_happy
Love Someone,2019-03-16,Lukas Graham,96,89.0,70,10,2cf83875-5a44-49a8-94ed-90585358eaab,danceable,pop,female,not_aggressive,voice,85.9204559326,F,0.678650677204,not_happy
Talk You Out Of It,2019-03-16,Florida Georgia Line,97,98.0,80,3,0051dafd-d42c-4809-9769-e65470ab3690,danceable,pop,male,not_aggressive,voice,119.985923767,E,0.892646491528,happy
Love Wins,2019-03-16,Carrie Underwood,98,,83,8,3839ca76-bc90-44c9-a2cf-ed208035ce6d,,,,,,,,,
On My Way To You,2019-03-16,Cody Johnson,99,,91,5,c9420dc8-1d90-444a-9caf-9e07863fdf62,not_danceable,pop,female,not_aggressive,voice,156.397994995,C#,0.765996813774,happy
7 Rings,2019-03-23,Ariana Grande,1,2.0,1,8,fc8a804f-7c62-4e99-b614-1f7eb75a9482,,,,,,,,,
