song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
"Thank U, Next",2019-01-05,Ariana Grande,1,1.0,1,8,46d32ced-77f7-4f85-b38b-1b547dc0722b,danceable,pop,female,not_aggressive,instrumental,106.925064087,A#,0.909109413624,not_happy
Without Me,2019-01-05,Halsey,2,2.0,2,12,e8460878-6581-4d57-9692-aee1d15009e7,,,,,,,,,
All I Want For Christmas Is You,2019-01-05,Mariah Carey,3,7.0,3,30,e267cd20-b6dd-4634-a072-b9e6c2de8a58,,,,,,,,,
Sicko Mode,2019-01-05,Travis Scott,4,3.0,1,21,b7326a80-8332-4ee0-8238-d6737efba347,danceable,hip,male,not_aggressive,voice,154.818984985,A#,0.832165181637,not_happy
Sunflower (Spider-Man: Into The Spider-Verse),2019-01-05,Post Malone & Swae Lee,5,4.0,4,10,74ce027a-e5a1-47f4-8997-68d89febca3f,,,,,,,,,
High Hopes,2019-01-05,Panic! At The Disco,6,6.0,5,21,c1296fc9-08d8-4c4b-af8b-d92da5397850,danceable,pop,male,aggressive,voice,163.938995361,A#,0.913865327835,happy
Happier,2019-01-05,Marshmello & Bastille,7,5.0,3,19,623b7611-08d9-4115-acd6-69f734dd3f24,danceable,pop,male,not_aggressive,voice,99.6053237915,A#,0.852668881416,not_happy
Jingle Bell Rock,2019-01-05,Bobby Helms,8,13.0,8,25,53e1adf4-663f-4e8c-8899-d2070e5f8f5d,,,,,,,,,
Rockin' Around The Christmas Tree,2019-01-05,Brenda Lee,9,11.0,9,27,d7b7bd27-6e39-4a0e-af7a-22e0a63ca489,,,,,,,,,
A Holly Jolly Christmas,2019-01-05,Burl Ives,10,12.0,10,10,4312089e-7c16-4c91-9665-964a29055729,,,,,,,,,
The Christmas Song (Merry Christmas To You),2019-01-05,Nat King Cole,11,17.0,11,17,4333a302-8553-46b2-b64a-a10159817901,,,,,,,,,
Drip Too Hard,2019-01-05,Lil Baby & Gunna,12,9.0,4,15,f65108f7-c7ea-4c86-be42-fff229d8cbfb,,,,,,,,,
It's The Most Wonderful Time Of The Year,2019-01-05,Andy Williams,13,10.0,10,10,9d19131f-5dd6-4aad-b0e8-b3e14125e30e,danceable,pop,female,aggressive,voice,111.442741394,D,0.941556930542,happy
Money,2019-01-05,Cardi B,19,30.0,13,10,554be879-81c1-4202-9c45-286af561182f,danceable,hip,female,not_aggressive,voice,130.017349243,A#,0.794337213039,not_happy
"Let It Snow, Let It Snow, Let It Snow",2019-01-05,Dean Martin,20,32.0,20,4,b4b14eaa-5370-478e-ad55-36bb00ff0456,,,,,,,,,
Eastside,2019-01-05,"benny blanco, Halsey & Khalid",21,18.0,16,24,787087cb-cb94-442d-98dd-2eddc59f1f84,danceable,rhy,female,not_aggressive,voice,89.8307800293,D,0.846083641052,not_happy
Breathin,2019-01-05,Ariana Grande,22,19.0,12,19,8d04d497-84b3-4a5b-85a1-46948e7f5f72,danceable,pop,female,not_aggressive,instrumental,99.7404251099,F,0.92124080658,not_happy
Better Now,2019-01-05,Post Malone,23,21.0,3,35,f4ff2903-27db-47ff-937d-d05bfdbf471f,danceable,pop,female,not_aggressive,voice,144.64906311,A#,0.824171304703,not_happy
Youngblood,2019-01-05,5 Seconds Of Summer,24,20.0,7,30,8c699381-20d8-44da-916f-fdbc009fe6cd,,,,,,,,,
Last Christmas,2019-01-05,Wham!,25,27.0,25,9,09284f8a-51af-4727-b672-2e9ab3b1f869,,,,,,,,,
Sleigh Ride,2019-01-05,The Ronettes,26,33.0,26,3,dd624765-1231-4bcd-82e5-f12decdb0ef9,,,,,,,,,
Lucid Dreams,2019-01-05,Juice WRLD,27,23.0,2,33,a31f849d-af28-48e8-a6e1-ecb7c9faea3b,,,,,,,,,
Here Comes Santa Claus (Right Down Santa Claus Lane),2019-01-05,Gene Autry,28,35.0,28,3,946361d4-390f-46a3-8348-581f335736c2,not_danceable,jaz,female,not_aggressive,voice,96.5720748901,C,0.857709825039,not_happy
Feliz Navidad,2019-01-05,Jose Feliciano,29,34.0,29,5,e1da36b4-58aa-40c0-8489-686af9a18753,,,,,,,,,
Leave Me Alone,2019-01-05,Flipp Dinero,33,31.0,27,15,473f3033-87c5-49db-83df-b751cbb6108d,danceable,rhy,female,not_aggressive,voice,150.245819092,A#,0.787597715855,not_happy
Trip,2019-01-05,Ella Mai,38,29.0,11,21,6b16cc43-7752-4eb3-ad55-fc04505f4b34,danceable,rhy,female,not_aggressive,instrumental,162.401687622,A,0.729755103588,not_happy
I Like It,2019-01-05,"Cardi B, Bad Bunny & J Balvin",39,40.0,1,38,93951877-d1ad-4ebd-a41a-3d818d237cca,danceable,hip,male,not_aggressive,instrumental,135.991790771,F,0.845757007599,not_happy
Blue Christmas,2019-01-05,Elvis Presley,40,,40,1,42658acc-a332-4d3c-8b58-d3beaf705307,,,,,,,,,
Speechless,2019-01-05,Dan + Shay,41,36.0,33,16,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy
Christmas (Baby Please Come Home),2019-01-05,Darlene Love,43,50.0,43,2,a7a13f6a-84ac-4d7c-aa16-625c35505185,,,,,,,,,
Underneath The Tree,2019-01-05,Kelly Clarkson,44,,44,4,1e62185e-2731-4da4-930a-a5817962ff19,not_danceable,pop,female,not_aggressive,instrumental,79.9964904785,A#,0.909588813782,happy
Run Rudolph Run,2019-01-05,Chuck Berry,45,,45,4,7a671fb6-afa4-4f21-8632-ae976f8c5bbc,not_danceable,rhy,male,not_aggressive,instrumental,152.358108521,C,0.901780247688,happy
Natural,2019-01-05,Imagine Dragons,46,43.0,13,23,7347472e-a25b-4c4a-8317-f5f9c5e998d1,not_danceable,pop,male,not_aggressive,instrumental,99.6617965698,D,0.826539456844,happy
Wow.,2019-01-05,Post Malone,47,,47,1,112ff70c-7e9a-46df-9235-e82939575ad0,,,,,,,,,
Love Lies,2019-01-05,Khalid & Normani,48,37.0,9,45,d8e58929-5da8-4361-94c5-a796c63f1ab6,,,,,,,,,
Jingle Bells,2019-01-05,Frank Sinatra,49,,49,1,bbe095da-8636-4d9a-a0c4-1396ecb309f5,,,,,,,,,
Better,2019-01-05,Khalid,51,39.0,29,15,ba73118f-7c13-43f6-933c-9f048fe8c01f,danceable,hip,female,not_aggressive,instrumental,97.8721160889,A#,0.894053637981,not_happy
Shallow,2019-01-05,Lady Gaga & Bradley Cooper,52,44.0,5,13,31efbe4d-0e4c-47a4-9a77-a7e5ad0588f4,,,,,,,,,
Uproar,2019-01-05,Lil Wayne,56,49.0,7,13,630854cf-741a-4b68-bc9d-c648862b4180,danceable,hip,male,not_aggressive,voice,98.9849395752,A#,0.930883765221,not_happy
Can't Leave Without It,2019-01-05,21 Savage,58,,58,1,3f77e7e3-5537-4c8a-999c-7bd7fedb3391,danceable,rhy,female,not_aggressive,voice,131.967910767,A,0.771536171436,not_happy
You Say,2019-01-05,Lauren Daigle,59,59.0,44,24,e8128e69-1c24-4e0f-8e31-6a4087299ba4,not_danceable,pop,female,not_aggressive,voice,147.918914795,A#,0.700807750225,not_happy
Best Shot,2019-01-05,Jimmie Allen,61,55.0,46,15,bd5556f5-4329-4c48-90a5-03c1247dcb55,not_danceable,rhy,female,not_aggressive,voice,155.630996704,E,0.879078090191,happy
Be Alright,2019-01-05,Dean Lewis,63,63.0,63,9,bc664cd2-c985-4d20-85a2-31872a09e170,,,,,,,,,
Drunk Me,2019-01-05,Mitchell Tenpenny,64,54.0,53,20,b6dbd9a2-8d8d-4ff8-80ac-5ac387889ba1,danceable,pop,female,not_aggressive,voice,87.9701690674,D,0.875709474087,happy
Look Back At It,2019-01-05,A Boogie Wit da Hoodie,66,96.0,66,3,d220bc4a-dcb3-4711-a16f-0bbb0d37f354,danceable,rhy,female,not_aggressive,voice,95.6282806396,D#,0.865951836109,not_happy
All My Friends,2019-01-05,21 Savage,67,,67,1,a677841e-8b92-4ed9-92fa-b67e50f9422c,,,,,,,,,
BAD!,2019-01-05,XXXTENTACION,68,52.0,16,7,d5ddede3-e821-4a77-aecf-e51794a76366,danceable,rhy,female,not_aggressive,voice,144.03503418,F,0.844384610653,not_happy
Backin' It Up,2019-01-05,Pardison Fontaine Featuring Cardi B,69,64.0,64,11,7a699244-9155-4d98-96f5-5363209e0f7b,danceable,hip,female,not_aggressive,instrumental,82.4016189575,A#,0.844953835011,not_happy
Break Da Law,2019-01-05,21 Savage,70,,70,1,50e39a3a-1c30-4458-be7f-5b22bfe5b89f,danceable,hip,female,not_aggressive,voice,140.900024414,A#,0.836931109428,not_happy
Consequences,2019-01-05,Camila Cabello,75,69.0,69,8,41bb57b5-9386-41c9-ba42-b2b599c4e32b,not_danceable,jaz,female,not_aggressive,voice,104.271751404,G,0.739832818508,not_happy
Armed And Dangerous,2019-01-05,Juice WRLD,76,60.0,44,7,80cbf2b8-3a77-40c9-9f3f-95010bbb6ff3,,,,,,,,,
Sixteen,2019-01-05,Thomas Rhett,79,67.0,67,7,4ac01c59-c53e-433e-8908-ef536a0a97ec,,,,,,,,,
Beautiful Crazy,2019-01-05,Luke Combs,81,81.0,58,7,3b1894a2-7988-48fa-91d4-ae036272ef38,,,,,,,,,
When The Party's Over,2019-01-05,Billie Eilish,82,77.0,52,10,fe265667-ad88-4e84-baff-721a4aaa6f8f,,,,,,,,,
Sweet But Psycho,2019-01-05,Ava Max,83,87.0,83,2,f9b48b9e-fee4-4bff-8b50-646aca297b80,danceable,pop,female,not_aggressive,voice,132.953552246,C#,0.880677103996,happy
You,2019-01-05,Jacquees,85,75.0,75,5,38529de4-4b7d-4145-9047-3b2235e253b4,,,,,,,,,
1.5,2019-01-05,21 Savage,86,,86,1,c6fc818a-b0a5-44db-80ad-9d0c8629c996,,,,,,,,,
Girl Like You,2019-01-05,Jason Aldean,87,71.0,71,5,33d698bb-382f-48ef-8938-6e8f3af45fd8,danceable,pop,male,aggressive,voice,143.967468262,D#,0.899889886379,not_happy
Out For The Night,2019-01-05,21 Savage,88,,88,1,203417b4-4b1f-4d40-b181-05ba91533157,,,,,,,,,
Good Girl,2019-01-05,Dustin Lynch,89,72.0,72,7,98a1da94-13d9-4bcc-a0bd-820f9598b584,danceable,pop,male,not_aggressive,voice,161.596359253,G,0.903196156025,happy
ASMR,2019-01-05,21 Savage,95,,95,1,255b4034-66b2-45ed-9494-6020634e5048,danceable,rhy,male,not_aggressive,voice,112.828994751,A#,0.721184790134,not_happy
Last Shot,2019-01-05,Kip Moore,96,78.0,78,6,a25bedd9-1be6-4cb1-b4ff-ea0f2006df06,danceable,roc,male,not_aggressive,voice,147.974014282,E,0.938902497292,happy
Fine China,2019-01-05,Future & Juice WRLD,97,82.0,26,10,69841c73-2b3a-479a-bcf8-bae97cc631ae,,,,,,,,,
Envy Me,2019-01-05,Calboy,98,91.0,91,2,fe1d5d7a-0697-4a51-8f5e-1ea68b03dc4d,,,,,,,,,
This Is It,2019-01-05,Scotty McCreery,100,84.0,84,3,aec07661-9222-464f-9563-99611a159ae8,not_danceable,roc,female,not_aggressive,instrumental,155.680618286,G#,0.880137860775,happy
Without Me,2019-01-12,Halsey,1,2.0,1,13,888bb953-61ed-45e8-9c4f-33c3346dc16f,danceable,rhy,female,not_aggressive,voice,135.955062866,F#,0.790792047977,not_happy
"Thank U, Next",2019-01-12,Ariana Grande,2,1.0,1,9,e360a29c-bd6a-4a5c-8d11-fe9cf56ec22f,,,,,,,,,
Sunflower (Spider-Man: Into The Spider-Verse),2019-01-12,Post Malone & Swae Lee,3,5.0,3,11,b6df9d04-2303-4ec7-a416-367b06a026cb,danceable,pop,female,not_aggressive,voice,89.8964920044,D,0.897321462631,happy
Sicko Mode,2019-01-12,Travis Scott,4,4.0,1,22,b7326a80-8332-4ee0-8238-d6737efba347,danceable,hip,male,not_aggressive,voice,154.818984985,A#,0.832165181637,not_happy
High Hopes,2019-01-12,Panic! At The Disco,5,6.0,5,22,f3e9f6f4-130c-420f-b90e-aa1bad4263b5,,,,,,,,,
Happier,2019-01-12,Marshmello & Bastille,6,7.0,3,20,623b7611-08d9-4115-acd6-69f734dd3f24,danceable,pop,male,not_aggressive,voice,99.6053237915,A#,0.852668881416,not_happy
Drip Too Hard,2019-01-12,Lil Baby & Gunna,8,12.0,4,16,f65108f7-c7ea-4c86-be42-fff229d8cbfb,,,,,,,,,
Wow.,2019-01-12,Post Malone,13,47.0,13,2,112ff70c-7e9a-46df-9235-e82939575ad0,,,,,,,,,
Youngblood,2019-01-12,5 Seconds Of Summer,14,24.0,7,31,8c699381-20d8-44da-916f-fdbc009fe6cd,,,,,,,,,
Mo Bamba,2019-01-12,Sheck Wes,15,17.0,6,19,25dfa760-3eed-4fdf-9f57-23c3d3a78f4e,danceable,rhy,female,not_aggressive,instrumental,146.001083374,F,0.946316182613,not_happy
Breathin,2019-01-12,Ariana Grande,16,22.0,12,20,ebbda164-fca5-476b-ad1a-26083d64ecf2,danceable,pop,female,not_aggressive,instrumental,99.7409667969,F,0.921616256237,not_happy
Money,2019-01-12,Cardi B,17,19.0,13,11,edef2393-fc95-4644-9f4c-52e6016ceb88,,,,,,,,,
Lucid Dreams,2019-01-12,Juice WRLD,18,27.0,2,34,f7f36033-0902-460f-8416-52b1e62f66ce,,,,,,,,,
Leave Me Alone,2019-01-12,Flipp Dinero,22,33.0,22,16,473f3033-87c5-49db-83df-b751cbb6108d,danceable,rhy,female,not_aggressive,voice,150.245819092,A#,0.787597715855,not_happy
Trip,2019-01-12,Ella Mai,23,38.0,11,22,6b16cc43-7752-4eb3-ad55-fc04505f4b34,danceable,rhy,female,not_aggressive,instrumental,162.401687622,A,0.729755103588,not_happy
Speechless,2019-01-12,Dan + Shay,24,41.0,24,17,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy
Natural,2019-01-12,Imagine Dragons,25,46.0,13,24,f2cde891-c5e7-4579-b2ea-35382d8588a2,,,,,,,,,
I Like It,2019-01-12,"Cardi B, Bad Bunny & J Balvin",26,39.0,1,39,93951877-d1ad-4ebd-a41a-3d818d237cca,danceable,hip,male,not_aggressive,instrumental,135.991790771,F,0.845757007599,not_happy
She Got The Best Of Me ,2019-01-12,Luke Combs,31,54.0,31,21,52c2f1cc-1dc0-4411-bc51-a21fe3b8a88c,,,,,,,,,
Baby Shark,2019-01-12,Pinkfong,32,,32,1,4d19d9d5-9174-4037-9dec-21b6c2cbcbb9,danceable,hip,male,not_aggressive,voice,114.734375,A#,0.937664628029,not_happy
You Say,2019-01-12,Lauren Daigle,34,59.0,34,25,e8128e69-1c24-4e0f-8e31-6a4087299ba4,not_danceable,pop,female,not_aggressive,voice,147.918914795,A#,0.700807750225,not_happy
Uproar,2019-01-12,Lil Wayne,35,56.0,7,14,630854cf-741a-4b68-bc9d-c648862b4180,danceable,hip,male,not_aggressive,voice,98.9849395752,A#,0.930883765221,not_happy
A Lot,2019-01-12,21 Savage,36,37.0,36,2,401f7e9c-dede-4aea-a7f3-4a85456bc268,,,,,,,,,
Best Shot,2019-01-12,Jimmie Allen,37,61.0,37,16,1e933b5d-6956-4cb4-9973-03edc2f72356,,,,,,,,,
Drunk Me,2019-01-12,Mitchell Tenpenny,39,64.0,39,21,b6dbd9a2-8d8d-4ff8-80ac-5ac387889ba1,danceable,pop,female,not_aggressive,voice,87.9701690674,D,0.875709474087,happy
Be Alright,2019-01-12,Dean Lewis,40,63.0,40,10,08467bce-dc5d-43f5-b591-fe3ecf1b956c,,,,,,,,,
Sweet But Psycho,2019-01-12,Ava Max,41,83.0,41,3,f9b48b9e-fee4-4bff-8b50-646aca297b80,danceable,pop,female,not_aggressive,voice,132.953552246,C#,0.880677103996,happy
Sixteen,2019-01-12,Thomas Rhett,42,79.0,42,8,4ac01c59-c53e-433e-8908-ef536a0a97ec,,,,,,,,,
Talk To Me,2019-01-12,Tory Lanez & Rich The Kid,43,72.0,43,10,d8fc566e-659f-46ad-b177-436229cc86ca,danceable,rhy,female,not_aggressive,instrumental,79.9510574341,A,0.889330148697,not_happy
Backin' It Up,2019-01-12,Pardison Fontaine Featuring Cardi B,44,69.0,44,12,7a699244-9155-4d98-96f5-5363209e0f7b,danceable,hip,female,not_aggressive,instrumental,82.4016189575,A#,0.844953835011,not_happy
Consequences,2019-01-12,Camila Cabello,51,75.0,51,9,41bb57b5-9386-41c9-ba42-b2b599c4e32b,not_danceable,jaz,female,not_aggressive,voice,104.271751404,G,0.739832818508,not_happy
Girl Like You,2019-01-12,Jason Aldean,52,87.0,52,6,33d698bb-382f-48ef-8938-6e8f3af45fd8,danceable,pop,male,aggressive,voice,143.967468262,D#,0.899889886379,not_happy
Last Shot,2019-01-12,Kip Moore,53,96.0,53,7,a25bedd9-1be6-4cb1-b4ff-ea0f2006df06,danceable,roc,male,not_aggressive,voice,147.974014282,E,0.938902497292,happy
Look Back At It,2019-01-12,A Boogie Wit da Hoodie,54,66.0,54,4,cc101b68-19c4-4dd2-be11-e4c0438130d4,,,,,,,,,
Armed And Dangerous,2019-01-12,Juice WRLD,56,76.0,44,8,80cbf2b8-3a77-40c9-9f3f-95010bbb6ff3,,,,,,,,,
This Is It,2019-01-12,Scotty McCreery,57,100.0,57,4,aec07661-9222-464f-9563-99611a159ae8,not_danceable,roc,female,not_aggressive,instrumental,155.680618286,G#,0.880137860775,happy
Calling My Spirit,2019-01-12,Kodak Black,58,74.0,46,5,4769e118-f401-4ccc-bf3c-daae7b83f370,danceable,rhy,male,not_aggressive,voice,119.952476501,A#,0.343877613544,not_happy
You,2019-01-12,Jacquees,59,85.0,59,6,7df17530-fdc9-4e2f-889f-5f69707263e1,,,,,,,,,
Imagine,2019-01-12,Ariana Grande,63,71.0,24,3,8f02a55f-7e09-4e69-8e53-7c77b3f1c97d,,,,,,,,,
Ella Quiere Beber,2019-01-12,Anuel AA & Romeo Santos,64,92.0,64,9,3d5c1a12-cd23-472d-96cb-7ca132f470c9,danceable,rhy,female,not_aggressive,instrumental,94.9251174927,G#,0.967547297478,not_happy
Millionaire,2019-01-12,Chris Stapleton,69,,69,4,f61c9210-1cbb-4a7a-8e4a-f0531fa0f662,danceable,rhy,male,not_aggressive,voice,142.815734863,A#,0.937531888485,happy
BAD!,2019-01-12,XXXTENTACION,70,68.0,16,8,d5ddede3-e821-4a77-aecf-e51794a76366,danceable,rhy,female,not_aggressive,voice,144.03503418,F,0.844384610653,not_happy
Pure Cocaine,2019-01-12,Lil Baby,72,,46,4,8cc74581-e677-4851-ad27-83d05515fd36,danceable,hip,female,not_aggressive,voice,126.982345581,A#,0.967274606228,not_happy
Lovely,2019-01-12,Billie Eilish & Khalid,73,91.0,73,10,1fc545d3-94b6-4a3d-bff3-bb8b861943d6,not_danceable,jaz,female,not_aggressive,voice,114.798667908,E,0.512330889702,happy
Fine China,2019-01-12,Future & Juice WRLD,74,97.0,26,11,cebb70eb-9d09-4698-b0bf-78b5d7db8b90,danceable,rhy,female,not_aggressive,voice,110.797111511,C,0.835003495216,not_happy
Take It From Me,2019-01-12,Jordan Davis,75,,75,1,37b94577-62f8-4bab-8c60-6715fb9f9130,danceable,pop,male,not_aggressive,voice,99.9436645508,A#,0.955841362476,not_happy
What Makes You Country,2019-01-12,Luke Bryan,76,,76,1,3dafcbe1-f845-4042-b49c-534dcf0a8c7a,danceable,pop,male,not_aggressive,voice,161.643936157,C,0.926102876663,happy
Yosemite,2019-01-12,Travis Scott,77,,25,11,1892f310-8713-47e5-b9a8-06f8d4021ca9,danceable,rhy,female,not_aggressive,voice,128.084762573,F,0.905719935894,not_happy
Monster,2019-01-12,21 Savage,78,73.0,73,2,b27f812f-2aba-4c08-b1b1-f079666e5609,danceable,rhy,female,not_aggressive,instrumental,133.933944702,F,0.490655571222,not_happy
Blue Tacoma,2019-01-12,Russell Dickerson,79,,52,16,f7ba6b6f-a162-403d-8ceb-764b26d312d1,danceable,roc,male,not_aggressive,voice,161.513839722,A,0.827869057655,happy
Down To The Honkytonk,2019-01-12,Jake Owen,80,,80,1,59b69ea3-1632-4f7e-bec6-154e8fb556b7,danceable,roc,male,not_aggressive,voice,163.89074707,D#,0.927729904652,happy
Close Friends,2019-01-12,Lil Baby,81,,28,12,5289ec9d-42ba-44ef-b5b6-40d2f0808efb,,,,,,,,,
Love Someone,2019-01-12,Lukas Graham,82,,82,1,2cf83875-5a44-49a8-94ed-90585358eaab,danceable,pop,female,not_aggressive,voice,85.9204559326,F,0.678650677204,not_happy
Love Wins,2019-01-12,Carrie Underwood,83,,83,1,b290c1f2-6ba3-4f2a-b286-0654d2accfc5,danceable,pop,female,not_aggressive,voice,134.98576355,G,0.905649185181,happy
Dip,2019-01-12,Tyga & Nicki Minaj,88,,63,7,e8e35697-58fa-464e-818e-8510ab1d531f,danceable,hip,female,not_aggressive,voice,98.9635391235,A,0.967491805553,happy
Here Tonight,2019-01-12,Brett Young,91,,91,1,562c319d-570d-4c6f-bdd7-98b0bb993af1,danceable,roc,male,not_aggressive,voice,95.8107070923,B,0.810961723328,not_happy
Burn Out,2019-01-12,Midland,92,,92,1,f3cc70b6-e05e-432d-9c4d-1f939e1c225f,,,,,,,,,
Solo de Mi,2019-01-12,Bad Bunny,93,,93,1,3db3658e-1d89-4e3c-90cf-19d47849d7a8,danceable,rhy,male,not_aggressive,voice,89.9811401367,A#,0.890141665936,not_happy
whoa (mind in awe),2019-01-12,XXXTENTACION,96,,37,3,1a38a7f7-2345-4e8b-bb84-e2e2b41f711b,not_danceable,rhy,male,not_aggressive,voice,,,,happy
All My Friends,2019-01-12,21 Savage,97,67.0,67,2,a677841e-8b92-4ed9-92fa-b67e50f9422c,,,,,,,,,
Make It Sweet,2019-01-12,Old Dominion,98,,98,1,d7b4ebdb-7d8a-481a-99fd-36019d7c7ef1,not_danceable,roc,male,not_aggressive,voice,89.9803771973,G,0.869421780109,happy
Ocean Eyes,2019-01-12,Billie Eilish,99,,96,3,15dafb91-e02e-4feb-b183-f5b547cff2f6,,,,,,,,,
idontwannabeyouanymore,2019-01-12,Billie Eilish,100,,100,1,28aebbcc-de11-47cd-bdda-ce9db5dfbbf7,,,,,,,,,
Sunflower (Spider-Man: Into The Spider-Verse),2019-01-19,Post Malone & Swae Lee,1,3.0,1,12,74ce027a-e5a1-47f4-8997-68d89febca3f,,,,,,,,,
Happier,2019-01-19,Marshmello & Bastille,6,6.0,3,21,623b7611-08d9-4115-acd6-69f734dd3f24,danceable,pop,male,not_aggressive,voice,99.6053237915,A#,0.852668881416,not_happy
Drip Too Hard,2019-01-19,Lil Baby & Gunna,8,8.0,4,17,f65108f7-c7ea-4c86-be42-fff229d8cbfb,,,,,,,,,
Eastside,2019-01-19,"benny blanco, Halsey & Khalid",9,11.0,9,26,787087cb-cb94-442d-98dd-2eddc59f1f84,danceable,rhy,female,not_aggressive,voice,89.8307800293,D,0.846083641052,not_happy
Wow.,2019-01-19,Post Malone,11,13.0,11,3,a6d85260-c6fa-4099-9884-92a4f86f636c,danceable,rhy,female,not_aggressive,voice,100.00289917,A#,0.841975152493,not_happy
Better Now,2019-01-19,Post Malone,13,10.0,3,37,f4ff2903-27db-47ff-937d-d05bfdbf471f,danceable,pop,female,not_aggressive,voice,144.64906311,A#,0.824171304703,not_happy
Mo Bamba,2019-01-19,Sheck Wes,14,15.0,6,20,a36d5faf-376b-41f7-ba54-97df8f2e17ca,,,,,,,,,
Breathin,2019-01-19,Ariana Grande,15,16.0,12,21,ebbda164-fca5-476b-ad1a-26083d64ecf2,danceable,pop,female,not_aggressive,instrumental,99.7409667969,F,0.921616256237,not_happy
Youngblood,2019-01-19,5 Seconds Of Summer,16,14.0,7,32,29f9b50f-5771-4403-85d3-a9e09fec1693,,,,,,,,,
Money,2019-01-19,Cardi B,17,17.0,13,12,554be879-81c1-4202-9c45-286af561182f,danceable,hip,female,not_aggressive,voice,130.017349243,A#,0.794337213039,not_happy
Speechless,2019-01-19,Dan + Shay,25,24.0,24,18,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy
Trip,2019-01-19,Ella Mai,26,23.0,11,23,6b16cc43-7752-4eb3-ad55-fc04505f4b34,danceable,rhy,female,not_aggressive,instrumental,162.401687622,A,0.729755103588,not_happy
Love Lies,2019-01-19,Khalid & Normani,28,27.0,9,47,d8e58929-5da8-4361-94c5-a796c63f1ab6,,,,,,,,,
Natural,2019-01-19,Imagine Dragons,29,25.0,13,25,7347472e-a25b-4c4a-8317-f5f9c5e998d1,not_danceable,pop,male,not_aggressive,instrumental,99.6617965698,D,0.826539456844,happy
I Like It,2019-01-19,"Cardi B, Bad Bunny & J Balvin",30,26.0,1,40,93951877-d1ad-4ebd-a41a-3d818d237cca,danceable,hip,male,not_aggressive,instrumental,135.991790771,F,0.845757007599,not_happy
She Got The Best Of Me ,2019-01-19,Luke Combs,32,31.0,31,22,52c2f1cc-1dc0-4411-bc51-a21fe3b8a88c,,,,,,,,,
A Lot,2019-01-19,21 Savage,33,36.0,33,3,401f7e9c-dede-4aea-a7f3-4a85456bc268,,,,,,,,,
You Say,2019-01-19,Lauren Daigle,34,34.0,34,26,e8128e69-1c24-4e0f-8e31-6a4087299ba4,not_danceable,pop,female,not_aggressive,voice,147.918914795,A#,0.700807750225,not_happy
Undecided,2019-01-19,Chris Brown,35,,35,1,82147351-014c-4b3b-aca2-35130e6553ab,danceable,pop,female,not_aggressive,instrumental,123.2605896,A#,0.903828918934,not_happy
Uproar,2019-01-19,Lil Wayne,36,35.0,7,15,630854cf-741a-4b68-bc9d-c648862b4180,danceable,hip,male,not_aggressive,voice,98.9849395752,A#,0.930883765221,not_happy
Sweet But Psycho,2019-01-19,Ava Max,37,41.0,37,4,f9b48b9e-fee4-4bff-8b50-646aca297b80,danceable,pop,female,not_aggressive,voice,132.953552246,C#,0.880677103996,happy
Baby Shark,2019-01-19,Pinkfong,38,32.0,32,2,4d19d9d5-9174-4037-9dec-21b6c2cbcbb9,danceable,hip,male,not_aggressive,voice,114.734375,A#,0.937664628029,not_happy
Best Shot,2019-01-19,Jimmie Allen,39,37.0,37,17,bd5556f5-4329-4c48-90a5-03c1247dcb55,not_danceable,rhy,female,not_aggressive,voice,155.630996704,E,0.879078090191,happy
Good Girl,2019-01-19,Dustin Lynch,44,47.0,44,9,98a1da94-13d9-4bcc-a0bd-820f9598b584,danceable,pop,male,not_aggressive,voice,161.596359253,G,0.903196156025,happy
Sixteen,2019-01-19,Thomas Rhett,45,42.0,42,9,4ac01c59-c53e-433e-8908-ef536a0a97ec,,,,,,,,,
Crushed Up,2019-01-19,Future,46,,46,1,59e5b069-5736-445d-aec1-8bb8cb4e6b40,danceable,rhy,female,not_aggressive,voice,155.968887329,A#,0.809539139271,not_happy
Backin' It Up,2019-01-19,Pardison Fontaine Featuring Cardi B,48,44.0,44,13,7a699244-9155-4d98-96f5-5363209e0f7b,danceable,hip,female,not_aggressive,instrumental,82.4016189575,A#,0.844953835011,not_happy
Look Back At It,2019-01-19,A Boogie Wit da Hoodie,49,54.0,49,5,d220bc4a-dcb3-4711-a16f-0bbb0d37f354,danceable,rhy,female,not_aggressive,voice,95.6282806396,D#,0.865951836109,not_happy
Girl Like You,2019-01-19,Jason Aldean,50,52.0,50,7,33d698bb-382f-48ef-8938-6e8f3af45fd8,danceable,pop,male,aggressive,voice,143.967468262,D#,0.899889886379,not_happy
Consequences,2019-01-19,Camila Cabello,52,51.0,51,10,4e5937a1-c276-427d-8d50-b788f4245c73,,,,,,,,,
This Is It,2019-01-19,Scotty McCreery,53,57.0,53,5,aec07661-9222-464f-9563-99611a159ae8,not_danceable,roc,female,not_aggressive,instrumental,155.680618286,G#,0.880137860775,happy
