song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid
"Thank U, Next",2019-01-05,Ariana Grande,1,1,1,8,46d32ced-77f7-4f85-b38b-1b547dc0722b
Without Me,2019-01-05,Halsey,2,2,2,12,e8460878-6581-4d57-9692-aee1d15009e7
All I Want For Christmas Is You,2019-01-05,Mariah Carey,3,7,3,30,e267cd20-b6dd-4634-a072-b9e6c2de8a58
Sicko Mode,2019-01-05,Travis Scott,4,3,1,21,b7326a80-8332-4ee0-8238-d6737efba347
Sunflower (Spider-Man: Into The Spider-Verse),2019-01-05,Post Malone & Swae Lee,5,4,4,10,74ce027a-e5a1-47f4-8997-68d89febca3f
High Hopes,2019-01-05,Panic! At The Disco,6,6,5,21,c1296fc9-08d8-4c4b-af8b-d92da5397850
Happier,2019-01-05,Marshmello & Bastille,7,5,3,19,623b7611-08d9-4115-acd6-69f734dd3f24
Jingle Bell Rock,2019-01-05,Bobby Helms,8,13,8,25,53e1adf4-663f-4e8c-8899-d2070e5f8f5d
Rockin' Around The Christmas Tree,2019-01-05,Brenda Lee,9,11,9,27,d7b7bd27-6e39-4a0e-af7a-22e0a63ca489
A Holly Jolly Christmas,2019-01-05,Burl Ives,10,12,10,10,4312089e-7c16-4c91-9665-964a29055729
The Christmas Song (Merry Christmas To You),2019-01-05,Nat King Cole,11,17,11,17,4333a302-8553-46b2-b64a-a10159817901
Drip Too Hard,2019-01-05,Lil Baby & Gunna,12,9,4,15,f65108f7-c7ea-4c86-be42-fff229d8cbfb
It's The Most Wonderful Time Of The Year,2019-01-05,Andy Williams,13,10,10,10,9d19131f-5dd6-4aad-b0e8-b3e14125e30e
Money,2019-01-05,Cardi B,19,30,13,10,554be879-81c1-4202-9c45-286af561182f
"Let It Snow, Let It Snow, Let It Snow",2019-01-05,Dean Martin,20,32,20,4,b4b14eaa-5370-478e-ad55-36bb00ff0456
Eastside,2019-01-05,"benny blanco, Halsey & Khalid",21,18,16,24,787087cb-cb94-442d-98dd-2eddc59f1f84
