song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid
Daddy Sang Bass,1969-01-04,Johnny Cash,60,64,60,2,e6d071f6-7f57-41bb-b710-fe6715033829
Bluebirds Over The Mountain,1969-01-04,The Beach Boys,61,61,61,4,de43f298-8cae-4c59-a0f6-d7a43423ac41
"Shame, Shame",1969-01-04,Magic Lanterns,62,29,29,11,427f8034-b1f5-4c28-9644-d90ef9c62083
Isn't It Lonely Together,1969-01-04,O.C. Smith,63,63,63,4,bb88086c-5cb4-4512-98dd-f19ae5a55025
Just Ain't No Love,1969-01-04,Barbara Acklin,67,68,67,8,8f3b5f67-568b-4757-b95b-5974fba8657d
A Minute Of Your Time,1969-01-04,Tom Jones,68,73,68,3,9f5df474-50a9-472d-9db1-4ee5db248902
American Boys,1969-01-04,Petula Clark,69,59,59,7,9ea1ed30-e8dc-4870-8ef3-65873fa40362
"Season Of The Witch, Pt. 1",1969-01-04,Vanilla Fudge,70,65,65,3,2f14164a-8d17-4144-bdd0-1d75ed4e8235
White Houses,1969-01-04,Eric Burdon & The Animals,71,67,67,7,3579f3f5-255a-4096-8695-f16e19efd8f3
You Got Soul,1969-01-04,Johnny Nash,72,81,72,4,c06609dd-71c6-42db-9aea-3ab17d84b0f3
Rainbow Ride,1969-01-04,Andy Kim,73,84,73,3,9bce7702-88ea-46c5-bc7e-fdd28c757c9f
Condition Red,1969-01-04,The Goodees,74,97,74,3,efd1204c-18fe-4bb1-ac6e-2e1c0d9e9805
Not On The Outside,1969-01-04,The Moments,75,85,75,2,93ace5b7-71cb-4cc2-b8e5-91ac9358dd7e
Chitty Chitty Bang Bang,1969-01-04,Paul Mauriat,76,78,76,7,3c15ce9d-131b-46cb-a8f8-3916746d6094
Feelin' So Good (S.k.o.o.b.y-D.o.o),1969-01-04,The Archies,78,88,78,2,96d2b0bb-be34-494d-8fb3-73317af35c76
This Magic Moment,1969-01-04,Jay & The Americans,79,90,79,2,8b142fe2-71d4-42be-87a5-59e33aeedfc8
Vance,1969-01-04,Roger Miller,80,80,80,5,f2f39761-1f1b-42cb-b950-28e74af8cb5a
I Forgot To Be Your Lover,1969-01-04,William Bell,81,,81,1,d47b1870-2e55-4d4c-bf70-fadb040efffe
Tit For Tat (Ain't No Taking Back),1969-01-04,James Brown,86,86,86,3,b90f2e6a-5523-441c-b74f-22454fe132ae
"Ob-La-Di, Ob-La-Da",1969-01-04,Arthur Conley,88,,88,1,7192764c-cc2b-44bf-85a6-9ab552e574aa
She's A Lady,1969-01-04,John Sebastian,89,,89,1,55594ec6-493b-4a07-830b-79b599bccef1
You Showed Me,1969-01-04,The Turtles,90,,90,1,310407db-f336-4014-8608-fdeab3e172f9
Eloise,1969-01-04,Barry Ryan,91,92,91,2,2edb8468-f2b6-4552-a19d-7a98a616e7bf
You've Got The Power,1969-01-04,The Esquires,93,93,93,2,d306fe29-ce10-4a99-a01f-1da7789d5247
Looking Back,1969-01-04,Joe Simon,94,,91,3,18fff3be-5fe6-4edd-95ab-127a5eaa0ed5
The Thought Of Loving You,1969-01-04,The Crystal Mansion,95,95,95,3,b5dc98e1-27bc-4ca5-9243-aaa4921ea511
Things I'd Like To Say,1969-01-04,New Colony Six,96,100,96,2,3879d29c-2eb3-41ce-aecd-f44e5ad0e59b
I Can't Help It (If I'm Still In Love With You),1969-01-04,Al Martino,97,99,97,2,6486ef1e-54e9-4eac-b263-8de6bd5deb33
Ain't Got No; I Got Life,1969-01-04,Nina Simone,99,,99,1,7a911f4b-3dd8-42fe-9811-10bd70bb93b2
Goodnight My Love,1969-01-04,Paul Anka,100,,100,1,87e2dbdb-7e79-4e16-9651-9eec711536dc
Hooked On A Feeling,1969-01-11,B.J. Thomas,5,10,5,9,22eca4d1-0656-41a6-96fa-84b399adca70
Cloud Nine,1969-01-11,The Temptations,6,6,6,9,a236ad0b-f1f0-437e-aaed-7df445eb23fe
