song,artist,this_week,last_week,peak_position,weeks_on_chart
God Knows I Love You,Nancy Sinatra,97,100,97,3
Something's On Her Mind,The 4 Seasons,98,,98,1
Only You (And You Alone),Bobby Hatfield,99,95,95,4
I Love My Baby,Archie Bell & The Drells,100,,100,1
Dizzy,Tommy Roe,1,1,1,10
Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,2,4,2,5
Time Of The Season,The Zombies,3,3,3,9
You've Made Me So Very Happy,"Blood, Sweat & Tears",4,12,4,6
Galveston,Glen Campbell,5,8,5,6
"Run Away Child, Running Wild",The Temptations,6,6,6,8
Only The Strong Survive,Jerry Butler,7,10,7,6
Traces,Classics IV Featuring Dennis Yost,8,2,2,9
My Whole World Ended (The Moment You Left Me),David Ruffin,9,9,9,8
Proud Mary,Creedence Clearwater Revival,10,5,2,11
Rock Me,Steppenwolf,11,15,11,6
Indian Giver,1910 Fruitgum Co.,12,7,5,11
Twenty-Five Miles,Edwin Starr,13,17,13,8
It's Your Thing,The Isley Brothers,14,26,14,4
Hot Smoke & Sasafrass,The Bubble Puppy,15,19,15,8
Build Me Up Buttercup,The Foundations,16,11,3,14
This Girl's In Love With You,Dionne Warwick,17,13,7,10
Hair,The Cowsills,18,35,18,4
"Mr. Sun, Mr. Moon",Paul Revere & The Raiders Featuring Mark Lindsay,19,23,19,8
The Letter,The Arbors,20,41,20,7
Do Your Thing,The Watts 103rd Street Rhythm Band,21,28,21,10
Everyday People,Sly & The Family Stone,22,14,1,19
"Baby, Baby Don't Cry",Smokey Robinson & The Miracles,23,21,8,14
You Gave Me A Mountain,Frankie Laine,24,24,24,9
Things I'd Like To Say,New Colony Six,25,16,16,15
Gimme Gimme Good Lovin',Crazy Elephant,26,53,26,6
Mendocino,Sir Douglas Quintet,27,27,27,12
I'll Try Something New,Supremes & Temptations,28,29,28,4
Brother Love's Travelling Salvation Show,Neil Diamond,29,36,29,7
Don't Give In To Him,Gary Puckett And The Union Gap,30,31,30,4
Try A Little Tenderness,Three Dog Night,31,37,31,9
The Weight,Aretha Franklin,32,20,19,7
Time Is Tight,Booker T. & The MG's,33,44,33,4
Sweet Cherry Wine,Tommy James And The Shondells,34,61,34,3
I Got A Line On You,Spirit,35,32,25,12
I Can Hear Music,The Beach Boys,36,43,36,5
Snatching It Back,Clarence Carter,37,38,37,6
The Chokin' Kind,Joe Simon,38,39,38,3
"No, Not Much",The Vogues,39,34,34,5
"Sweet Cream Ladies, Forward March",The Box Tops,40,33,28,15
My Way,Frank Sinatra,41,69,41,2
Johnny One Time,Brenda Lee,42,42,42,9
First Of May,Bee Gees,43,62,43,3
The Way It Used To Be,Engelbert Humperdinck,44,60,44,6
Blessed Is The Rain,The Brooklyn Bridge Featuring Johnny Maestro,45,49,45,5
The Pledge Of Allegiance,Red Skelton,46,51,46,4
Don't Touch Me,Bettye Swann,47,54,47,5
Memories,Elvis Presley,48,52,48,3
When He Touches Me (Nothing Else Matters),Peaches & Herb,49,50,49,6
Playgirl,Thee Prophets,50,63,50,5
Hawaii Five-O,The Ventures,51,70,51,5
Will You Be Staying After Sunday,The Peppermint Rainbow,52,67,52,8
Is It Something You've Got,Tyrone Davis,53,57,53,3
Mercy,Ohio Express,54,77,54,2
I Like What You're Doing (To Me),Carla Thomas,55,55,55,8
Apricot Brandy,Rhinoceros,56,56,56,7
A Lover's Question,Otis Redding,57,48,48,6
"Move In A Little Closer, Baby",Mama Cass,58,74,58,4
Day After Day (It's Slippin' Away),Shango,59,72,59,6
Wishful Sinful,The Doors,60,79,60,2
"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel",James Brown,61,,61,1
Nothing But A Heartache,The Flirtations,62,83,62,5
It's Only Love,B.J. Thomas,63,71,63,3
Ice Cream Song,The Dynamics,64,81,64,3
Didn't You Know (You'd Have To Cry Sometime),Gladys Knight And The Pips,65,75,65,5
Tear Drop City,The Monkees,66,58,56,7
Time Was,Canned Heat,67,84,67,4
Shotgun,Vanilla Fudge,68,68,68,5
Mini-Skirt Minnie,Wilson Pickett,69,76,69,2
In The Still Of The Night,Paul Anka,70,78,70,3
Tracks Of My Tears,Aretha Franklin,71,80,71,4
To Know You Is To Love You,Bobby Vinton,72,,72,1
Pinball Wizard,The Who,73,,73,1
Long Green,The Fireballs,74,73,73,7
Atlantis,Donovan,75,,75,1
Don't Forget About Me,Dusty Springfield,76,64,64,6
"In The Bad, Bad Old Days (Before You Loved Me)",The Foundations,77,,77,1
There Never Was A Time,Jeannie C. Riley,78,86,78,2
Zazueira (Za-zoo-wher-a),Herb Alpert & The Tijuana Brass,79,96,79,2
Grazing In The Grass,The Friends Of Distinction,80,,80,1
Foolish Fool,Dee Dee Warwick,81,88,81,3
Kick Out The Jams,MC5,82,85,82,4
Goodbye Columbus,The Association,83,82,80,4
Good Times Bad Times,Led Zeppelin,84,94,84,2
Where Do You Go To (My Lovely),Peter Sarstedt,85,,85,1
Love Is All I Have To Give,"The Checkmates, Ltd.",86,,86,1
Badge,Cream,87,,87,1
More Today Than Yesterday,Spiral Starecase,88,,88,1
Give It Away,The Chi-lites,89,89,89,5
Back In The U.S.S.R.,Chubby Checker,90,,90,1
These Eyes,The Guess Who,91,,91,1
Born Again,Sam & Dave,92,93,92,3
Morning Girl,The Neon Philharmonic,93,,93,1
Gitarzan,Ray Stevens,94,,94,1
When You Dance,Jay & The Americans,95,,95,1
A Million To One,Brian Hyland,96,,96,1
California Girl (And The Tennessee Square),Tompall & The Glaser Brothers,97,,97,1
Rhythm Of The Rain,Gary Lewis And The Playboys,98,,98,1
Idaho,The 4 Seasons,99,,99,1
I Love My Baby,Archie Bell & The Drells,100,100,100,2
Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,1,2,1,6
You've Made Me So Very Happy,"Blood, Sweat & Tears",2,4,2,7
Dizzy,Tommy Roe,3,1,1,11
Galveston,Glen Campbell,4,5,4,7
Time Of The Season,The Zombies,5,3,3,10
Only The Strong Survive,Jerry Butler,6,7,6,7
It's Your Thing,The Isley Brothers,7,14,7,5
Hair,The Cowsills,8,18,8,5
"Run Away Child, Running Wild",The Temptations,9,6,6,9
Twenty-Five Miles,Edwin Starr,10,13,10,9
Rock Me,Steppenwolf,11,11,11,7
Proud Mary,Creedence Clearwater Revival,12,10,2,12
Traces,Classics IV Featuring Dennis Yost,13,8,2,10
Hot Smoke & Sasafrass,The Bubble Puppy,14,15,14,9
Indian Giver,1910 Fruitgum Co.,15,12,5,12
Don't Give In To Him,Gary Puckett And The Union Gap,16,30,16,5
This Girl's In Love With You,Dionne Warwick,17,17,7,11
Sweet Cherry Wine,Tommy James And The Shondells,18,34,18,4
"Mr. Sun, Mr. Moon",Paul Revere & The Raiders Featuring Mark Lindsay,19,19,19,9
The Letter,The Arbors,20,20,20,8
Do Your Thing,The Watts 103rd Street Rhythm Band,21,21,21,11
My Whole World Ended (The Moment You Left Me),David Ruffin,22,9,9,9
Build Me Up Buttercup,The Foundations,23,16,3,15
Gimme Gimme Good Lovin',Crazy Elephant,24,26,24,7
I'll Try Something New,Supremes & Temptations,25,28,25,5
You Gave Me A Mountain,Frankie Laine,26,24,24,10
Brother Love's Travelling Salvation Show,Neil Diamond,27,29,27,8
The Chokin' Kind,Joe Simon,28,38,28,4
Time Is Tight,Booker T. & The MG's,29,33,29,5
Mendocino,Sir Douglas Quintet,30,27,27,13
Try A Little Tenderness,Three Dog Night,31,31,31,10
Hawaii Five-O,The Ventures,32,51,32,6
I Can Hear Music,The Beach Boys,33,36,33,6
Is It Something You've Got,Tyrone Davis,34,53,34,4
Memories,Elvis Presley,35,48,35,4
Snatching It Back,Clarence Carter,36,37,36,7
My Way,Frank Sinatra,37,41,37,3
Things I'd Like To Say,New Colony Six,38,25,16,16
Will You Be Staying After Sunday,The Peppermint Rainbow,39,52,39,9
First Of May,Bee Gees,40,43,40,4
Johnny One Time,Brenda Lee,41,42,41,10
Don't Touch Me,Bettye Swann,42,47,42,6
The Way It Used To Be,Engelbert Humperdinck,43,44,43,7
The Pledge Of Allegiance,Red Skelton,44,46,44,5
Wishful Sinful,The Doors,45,60,45,3
Mercy,Ohio Express,46,54,46,3
Apricot Brandy,Rhinoceros,47,56,47,8
It's Only Love,B.J. Thomas,48,63,48,4
Playgirl,Thee Prophets,49,50,49,6
To Know You Is To Love You,Bobby Vinton,50,72,50,2
The Boxer,Simon & Garfunkel,51,,51,1
I Like What You're Doing (To Me),Carla Thomas,52,55,52,9
Mini-Skirt Minnie,Wilson Pickett,53,69,53,3
"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel",James Brown,54,61,54,2
Blessed Is The Rain,The Brooklyn Bridge Featuring Johnny Maestro,55,45,45,6
When He Touches Me (Nothing Else Matters),Peaches & Herb,56,49,49,7
Day After Day (It's Slippin' Away),Shango,57,59,57,7
"Move In A Little Closer, Baby",Mama Cass,58,58,58,5
Nothing But A Heartache,The Flirtations,59,62,59,6
Atlantis,Donovan,60,75,60,2
Pinball Wizard,The Who,61,73,61,2
Ice Cream Song,The Dynamics,62,64,62,4
Didn't You Know (You'd Have To Cry Sometime),Gladys Knight And The Pips,63,65,63,6
"In The Bad, Bad Old Days (Before You Loved Me)",The Foundations,64,77,64,2
In The Still Of The Night,Paul Anka,65,70,65,4
These Eyes,The Guess Who,66,91,66,2
Time Was,Canned Heat,67,67,67,5
Gitarzan,Ray Stevens,68,94,68,2
More Today Than Yesterday,Spiral Starecase,69,88,69,2
Foolish Fool,Dee Dee Warwick,70,81,70,4
Tracks Of My Tears,Aretha Franklin,71,71,71,5
Love (Can Make You Happy),Mercy,72,,72,1
Grazing In The Grass,The Friends Of Distinction,73,80,73,2
Where Do You Go To (My Lovely),Peter Sarstedt,74,85,74,2
Happy Heart,Andy Williams,75,,75,1
Badge,Cream,76,87,76,2
There Never Was A Time,Jeannie C. Riley,77,78,77,3
Buying A Book,Joe Tex,78,,78,1
Zazueira (Za-zoo-wher-a),Herb Alpert & The Tijuana Brass,79,79,79,3
Stand!,Sly & The Family Stone,80,,80,1
Good Times Bad Times,Led Zeppelin,81,84,81,3
Seattle,Perry Como,82,,82,1
Love Is All I Have To Give,"The Checkmates, Ltd.",83,86,83,2
Happy Heart,Petula Clark,84,,84,1
Back In The U.S.S.R.,Chubby Checker,85,90,85,2
Morning Girl,The Neon Philharmonic,86,93,86,2
The River Is Wide,The Grass Roots,87,,87,1
Give It Away,The Chi-lites,88,89,88,6
When You Dance,Jay & The Americans,89,95,89,2
A Million To One,Brian Hyland,90,96,90,2
Breakfast In Bed,Dusty Springfield,91,,91,1
Any Day Now,Percy Sledge,92,,92,1
Cissy Strut,The Meters,93,,93,1
I Love My Baby,Archie Bell & The Drells,94,100,94,3
Idaho,The 4 Seasons,95,99,95,2
California Girl (And The Tennessee Square),Tompall & The Glaser Brothers,96,97,96,2
Rhythm Of The Rain,Gary Lewis And The Playboys,97,98,97,2
It's A Groovy World!,The Unifics,98,,98,1
I Can't Do Enough,The Dells,99,,99,1
Singing My Song,Tammy Wynette,100,,100,1
Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,1,1,1,7
You've Made Me So Very Happy,"Blood, Sweat & Tears",2,2,2,8
It's Your Thing,The Isley Brothers,3,7,3,6
Only The Strong Survive,Jerry Butler,4,6,4,8
Dizzy,Tommy Roe,5,3,1,12
Galveston,Glen Campbell,6,4,4,8
Hair,The Cowsills,7,8,7,6
Twenty-Five Miles,Edwin Starr,8,10,8,10
Time Of The Season,The Zombies,9,5,3,11
Rock Me,Steppenwolf,10,11,10,8
"Run Away Child, Running Wild",The Temptations,11,9,6,10
Sweet Cherry Wine,Tommy James And The Shondells,12,18,12,5
Do Your Thing,The Watts 103rd Street Rhythm Band,13,21,13,12
Gimme Gimme Good Lovin',Crazy Elephant,14,24,14,8
Don't Give In To Him,Gary Puckett And The Union Gap,15,16,15,6
Traces,Classics IV Featuring Dennis Yost,16,13,2,11
Hawaii Five-O,The Ventures,17,32,17,7
"Mr. Sun, Mr. Moon",Paul Revere & The Raiders Featuring Mark Lindsay,18,19,18,10
Proud Mary,Creedence Clearwater Revival,19,12,2,13
The Boxer,Simon & Garfunkel,20,51,20,2
The Chokin' Kind,Joe Simon,21,28,21,5
This Girl's In Love With You,Dionne Warwick,22,17,7,12
My Whole World Ended (The Moment You Left Me),David Ruffin,23,22,9,10
Time Is Tight,Booker T. & The MG's,24,29,24,6
I'll Try Something New,Supremes & Temptations,25,25,25,6
Brother Love's Travelling Salvation Show,Neil Diamond,26,27,26,9
Hot Smoke & Sasafrass,The Bubble Puppy,27,14,14,10
Indian Giver,1910 Fruitgum Co.,28,15,5,13
Try A Little Tenderness,Three Dog Night,29,31,29,11
"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel",James Brown,30,54,30,3
Snatching It Back,Clarence Carter,31,36,31,8
I Can Hear Music,The Beach Boys,32,33,32,7
My Way,Frank Sinatra,33,37,33,4
Is It Something You've Got,Tyrone Davis,34,34,34,5
Memories,Elvis Presley,35,35,35,5
Mendocino,Sir Douglas Quintet,36,30,27,14
First Of May,Bee Gees,37,40,37,5
Don't Touch Me,Bettye Swann,38,42,38,7
Will You Be Staying After Sunday,The Peppermint Rainbow,39,39,39,10
The Letter,The Arbors,40,20,20,9
Mercy,Ohio Express,41,46,41,4
The Way It Used To Be,Engelbert Humperdinck,42,43,42,8
You Gave Me A Mountain,Frankie Laine,43,26,24,11
Wishful Sinful,The Doors,44,45,44,4
To Know You Is To Love You,Bobby Vinton,45,50,45,3
Apricot Brandy,Rhinoceros,46,47,46,9
It's Only Love,B.J. Thomas,47,48,47,5
Gitarzan,Ray Stevens,48,68,48,3
I Like What You're Doing (To Me),Carla Thomas,49,52,49,10
Mini-Skirt Minnie,Wilson Pickett,50,53,50,4
Pinball Wizard,The Who,51,61,51,3
Atlantis,Donovan,52,60,52,3
The Composer,Diana Ross & The Supremes,53,,53,1
Stand!,Sly & The Family Stone,54,80,54,2
Johnny One Time,Brenda Lee,55,41,41,11
Nothing But A Heartache,The Flirtations,56,59,56,7
Playgirl,Thee Prophets,57,49,49,7
More Today Than Yesterday,Spiral Starecase,58,69,58,3
Ice Cream Song,The Dynamics,59,62,59,5
"In The Bad, Bad Old Days (Before You Loved Me)",The Foundations,60,64,60,3
These Eyes,The Guess Who,61,66,61,3
Love (Can Make You Happy),Mercy,62,72,62,2
Didn't You Know (You'd Have To Cry Sometime),Gladys Knight And The Pips,63,63,63,7
In The Still Of The Night,Paul Anka,64,65,64,5
Grazing In The Grass,The Friends Of Distinction,65,73,65,3
The River Is Wide,The Grass Roots,66,87,66,2
Buying A Book,Joe Tex,67,78,67,2
Badge,Cream,68,76,68,3
Foolish Fool,Dee Dee Warwick,69,70,69,5
Happy Heart,Andy Williams,70,75,70,2
"Move In A Little Closer, Baby",Mama Cass,71,58,58,6
Seattle,Perry Como,72,82,72,2
Where Do You Go To (My Lovely),Peter Sarstedt,73,74,73,3
I Can't See Myself Leaving You,Aretha Franklin,74,,74,1
The Pledge Of Allegiance,Red Skelton,75,44,44,6
When You Dance,Jay & The Americans,76,89,76,3
Love Is All I Have To Give,"The Checkmates, Ltd.",77,83,77,3
Zazueira (Za-zoo-wher-a),Herb Alpert & The Tijuana Brass,78,79,78,4
Happy Heart,Petula Clark,79,84,79,2
Good Times Bad Times,Led Zeppelin,80,81,80,4
Cissy Strut,The Meters,81,93,81,2
Tracks Of My Tears,Aretha Franklin,82,71,71,6
Morning Girl,The Neon Philharmonic,83,86,83,3
Back In The U.S.S.R.,Chubby Checker,84,85,84,3
Earth Angel (Will You Be Mine),The Vogues,85,,85,1
Goodbye,Mary Hopkin,86,,86,1
(We've Got) Honey Love,Martha Reeves & The Vandellas,87,,87,1
Any Day Now,Percy Sledge,88,92,88,2
I've Been Hurt,Bill Deal & The Rhondels,89,,89,1
A Million To One,Brian Hyland,90,90,90,3
Breakfast In Bed,Dusty Springfield,91,91,91,2
California Girl (And The Tennessee Square),Tompall & The Glaser Brothers,92,96,92,3
There Never Was A Time,Jeannie C. Riley,93,77,77,4
Singing My Song,Tammy Wynette,94,100,94,2
Rhythm Of The Rain,Gary Lewis And The Playboys,95,97,95,3
Sorry Suzanne,The Hollies,96,,96,1
It's A Groovy World!,The Unifics,97,98,97,2
I Can't Do Enough,The Dells,98,99,98,2
I'm A Drifter,Bobby Goldsboro,99,,99,1
July You're A Woman,Pat Boone,100,,100,1
Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,1,1,1,8
You've Made Me So Very Happy,"Blood, Sweat & Tears",2,2,2,9
It's Your Thing,The Isley Brothers,3,3,3,7
Hair,The Cowsills,4,7,4,7
Only The Strong Survive,Jerry Butler,5,4,4,9
Twenty-Five Miles,Edwin Starr,6,8,6,11
Galveston,Glen Campbell,7,6,4,9
Time Is Tight,Booker T. & The MG's,8,24,8,7
Dizzy,Tommy Roe,9,5,1,13
Sweet Cherry Wine,Tommy James And The Shondells,10,12,10,6
Do Your Thing,The Watts 103rd Street Rhythm Band,11,13,11,13
Time Of The Season,The Zombies,12,9,3,12
Hawaii Five-O,The Ventures,13,17,13,8
Gimme Gimme Good Lovin',Crazy Elephant,14,14,14,9
Don't Give In To Him,Gary Puckett And The Union Gap,15,15,15,7
The Boxer,Simon & Garfunkel,16,20,16,3
Rock Me,Steppenwolf,17,10,10,9
The Chokin' Kind,Joe Simon,18,21,18,6
"Run Away Child, Running Wild",The Temptations,19,11,6,11
Traces,Classics IV Featuring Dennis Yost,20,16,2,12
"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel",James Brown,21,30,21,4
Brother Love's Travelling Salvation Show,Neil Diamond,22,26,22,10
Proud Mary,Creedence Clearwater Revival,23,19,2,14
I Can Hear Music,The Beach Boys,24,32,24,8
Atlantis,Donovan,25,52,25,4
Gitarzan,Ray Stevens,26,48,26,4
"Mr. Sun, Mr. Moon",Paul Revere & The Raiders Featuring Mark Lindsay,27,18,18,11
Hot Smoke & Sasafrass,The Bubble Puppy,28,27,14,11
I'll Try Something New,Supremes & Temptations,29,25,25,7
My Way,Frank Sinatra,30,33,30,5
Mercy,Ohio Express,31,41,31,5
The Composer,Diana Ross & The Supremes,32,53,32,2
Snatching It Back,Clarence Carter,33,31,31,9
I Can't See Myself Leaving You,Aretha Franklin,34,74,34,2
These Eyes,The Guess Who,35,61,35,4
Grazing In The Grass,The Friends Of Distinction,36,65,36,4
First Of May,Bee Gees,37,37,37,6
Don't Touch Me,Bettye Swann,38,38,38,8
Will You Be Staying After Sunday,The Peppermint Rainbow,39,39,39,11
Stand!,Sly & The Family Stone,40,54,40,3
Memories,Elvis Presley,41,35,35,6
The Way It Used To Be,Engelbert Humperdinck,42,42,42,9
Mendocino,Sir Douglas Quintet,43,36,27,15
Wishful Sinful,The Doors,44,44,44,5
To Know You Is To Love You,Bobby Vinton,45,45,45,4
Pinball Wizard,The Who,46,51,46,4
It's Only Love,B.J. Thomas,47,47,47,6
Happy Heart,Andy Williams,48,70,48,3
The Letter,The Arbors,49,40,20,10
Mini-Skirt Minnie,Wilson Pickett,50,50,50,5
Is It Something You've Got,Tyrone Davis,51,34,34,6
Love (Can Make You Happy),Mercy,52,62,52,3
Apricot Brandy,Rhinoceros,53,46,46,10
Try A Little Tenderness,Three Dog Night,54,29,29,12
Buying A Book,Joe Tex,55,67,55,3
Nothing But A Heartache,The Flirtations,56,56,56,8
More Today Than Yesterday,Spiral Starecase,57,58,57,4
"In The Bad, Bad Old Days (Before You Loved Me)",The Foundations,58,60,58,4
Ice Cream Song,The Dynamics,59,59,59,6
The River Is Wide,The Grass Roots,60,66,60,3
I Like What You're Doing (To Me),Carla Thomas,61,49,49,11
Cissy Strut,The Meters,62,81,62,3
Foolish Fool,Dee Dee Warwick,63,69,63,6
Goodbye,Mary Hopkin,64,86,64,2
Playgirl,Thee Prophets,65,57,49,8
Earth Angel (Will You Be Mine),The Vogues,66,85,66,2
Too Busy Thinking About My Baby,Marvin Gaye,67,,67,1
Badge,Cream,68,68,68,4
Seattle,Perry Como,69,72,69,3
When You Dance,Jay & The Americans,70,76,70,4
Happy Heart,Petula Clark,71,79,71,3
Oh Happy Day,The Edwin Hawkins' Singers Featuring Dorothy Combs Morrison,72,,72,1
Where Do You Go To (My Lovely),Peter Sarstedt,73,73,73,4
Love Is All I Have To Give,"The Checkmates, Ltd.",74,77,74,4
Morning Girl,The Neon Philharmonic,75,83,75,4
I've Been Hurt,Bill Deal & The Rhondels,76,89,76,2
In The Still Of The Night,Paul Anka,77,64,64,6
(We've Got) Honey Love,Martha Reeves & The Vandellas,78,87,78,2
Sorry Suzanne,The Hollies,79,96,79,2
Zazueira (Za-zoo-wher-a),Herb Alpert & The Tijuana Brass,80,78,78,5
I'm A Drifter,Bobby Goldsboro,81,99,81,2
Rhythm Of The Rain,Gary Lewis And The Playboys,82,95,82,4
Day Is Done,"Peter, Paul & Mary",83,,83,1
Back In The U.S.S.R.,Chubby Checker,84,84,84,4
Singing My Song,Tammy Wynette,85,94,85,3
Any Day Now,Percy Sledge,86,88,86,3
Heather Honey,Tommy Roe,87,,87,1
Love Is Just A Four-Letter Word,Joan Baez,88,,88,1
"Mr. Walker, It's All Over",Billie Jo Spears,89,,89,1
I Shall Be Released,The Box Tops,90,,90,1
From Both Sides Now,Dion,91,,91,1
California Girl (And The Tennessee Square),Tompall & The Glaser Brothers,92,92,92,4
Greensleeves,Mason Williams,93,,93,1
Seven Years,The Impressions,94,,94,1
I Can't Say No To You,Betty Everett,95,,95,1
I've Been Loving You Too Long,Ike & Tina Turner,96,,96,1
Home To You,Earth Opera,97,,97,1
Never Gonna Let Him Know,Debbie Taylor,98,,98,1
A Million To One,Brian Hyland,99,90,90,4
July You're A Woman,Pat Boone,100,100,100,2
Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,1,1,1,9
It's Your Thing,The Isley Brothers,2,3,2,8
Hair,The Cowsills,3,4,3,8
You've Made Me So Very Happy,"Blood, Sweat & Tears",4,2,2,10
Only The Strong Survive,Jerry Butler,5,5,4,10
Time Is Tight,Booker T. & The MG's,6,8,6,8
Sweet Cherry Wine,Tommy James And The Shondells,7,10,7,7
Hawaii Five-O,The Ventures,8,13,8,9
The Boxer,Simon & Garfunkel,9,16,9,4
Galveston,Glen Campbell,10,7,4,10
Dizzy,Tommy Roe,11,9,1,14
Gimme Gimme Good Lovin',Crazy Elephant,12,14,12,10
Twenty-Five Miles,Edwin Starr,13,6,6,12
These Eyes,The Guess Who,14,35,14,5
Love (Can Make You Happy),Mercy,15,52,15,4
Do Your Thing,The Watts 103rd Street Rhythm Band,16,11,11,14
Don't Give In To Him,Gary Puckett And The Union Gap,17,15,15,8
The Chokin' Kind,Joe Simon,18,18,18,7
Atlantis,Donovan,19,25,19,5
Gitarzan,Ray Stevens,20,26,20,5
"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel",James Brown,21,21,21,5
Brother Love's Travelling Salvation Show,Neil Diamond,22,22,22,11
Time Of The Season,The Zombies,23,12,3,13
Rock Me,Steppenwolf,24,17,10,10
Pinball Wizard,The Who,25,46,25,5
"Run Away Child, Running Wild",The Temptations,26,19,6,12
Goodbye,Mary Hopkin,27,64,27,3
I Can Hear Music,The Beach Boys,28,24,24,9
My Way,Frank Sinatra,29,30,29,6
Mercy,Ohio Express,30,31,30,6
The Composer,Diana Ross & The Supremes,31,32,31,3
Will You Be Staying After Sunday,The Peppermint Rainbow,32,39,32,12
I Can't See Myself Leaving You,Aretha Franklin,33,34,33,3
To Know You Is To Love You,Bobby Vinton,34,45,34,5
Grazing In The Grass,The Friends Of Distinction,35,36,35,5
Stand!,Sly & The Family Stone,36,40,36,4
More Today Than Yesterday,Spiral Starecase,37,57,37,5
Happy Heart,Andy Williams,38,48,38,4
"Mr. Sun, Mr. Moon",Paul Revere & The Raiders Featuring Mark Lindsay,39,27,18,12
Oh Happy Day,The Edwin Hawkins' Singers Featuring Dorothy Combs Morrison,40,72,40,2
Memories,Elvis Presley,41,41,35,7
The Way It Used To Be,Engelbert Humperdinck,42,42,42,10
The River Is Wide,The Grass Roots,43,60,43,4
Seattle,Perry Como,44,69,44,4
It's Only Love,B.J. Thomas,45,47,45,7
First Of May,Bee Gees,46,37,37,7
Earth Angel (Will You Be Mine),The Vogues,47,66,47,3
Don't Touch Me,Bettye Swann,48,38,38,9
Wishful Sinful,The Doors,49,44,44,6
Nothing But A Heartache,The Flirtations,50,56,50,9
Morning Girl,The Neon Philharmonic,51,75,51,5
"In The Bad, Bad Old Days (Before You Loved Me)",The Foundations,52,58,52,5
Buying A Book,Joe Tex,53,55,53,4
Too Busy Thinking About My Baby,Marvin Gaye,54,67,54,2
Cissy Strut,The Meters,55,62,55,4
Hot Smoke & Sasafrass,The Bubble Puppy,56,28,14,12
Is It Something You've Got,Tyrone Davis,57,51,34,7
Snatching It Back,Clarence Carter,58,33,31,10
Where's The Playground Susie,Glen Campbell,59,,59,1
Badge,Cream,60,68,60,5
Mini-Skirt Minnie,Wilson Pickett,61,50,50,6
Heather Honey,Tommy Roe,62,87,62,2
Foolish Fool,Dee Dee Warwick,63,63,63,7
Ice Cream Song,The Dynamics,64,59,59,7
Love Is All I Have To Give,"The Checkmates, Ltd.",65,74,65,5
Day Is Done,"Peter, Paul & Mary",66,83,66,2
I'm A Drifter,Bobby Goldsboro,67,81,67,3
Happy Heart,Petula Clark,68,71,68,4
Sorry Suzanne,The Hollies,69,79,69,3
(We've Got) Honey Love,Martha Reeves & The Vandellas,70,78,70,3
I've Been Hurt,Bill Deal & The Rhondels,71,76,71,3
Where Do You Go To (My Lovely),Peter Sarstedt,72,73,72,5
When You Dance,Jay & The Americans,73,70,70,5
Everyday With You Girl,Classics IV Featuring Dennis Yost,74,,74,1
Singing My Song,Tammy Wynette,75,85,75,4
I Shall Be Released,The Box Tops,76,90,76,2
Proud Mary,Solomon Burke,77,,77,1
Lodi,Creedence Clearwater Revival,78,,78,1
In The Ghetto,Elvis Presley,79,,79,1
Bad Moon Rising,Creedence Clearwater Revival,80,,80,1
Rhythm Of The Rain,Gary Lewis And The Playboys,81,82,81,5
Back In The U.S.S.R.,Chubby Checker,82,84,82,5
Medicine Man (Part I),Buchanan Brothers,83,,83,1
One,Three Dog Night,84,,84,1
Pretty World,Sergio Mendes & Brasil '66,85,,85,1
Any Day Now,Percy Sledge,86,86,86,4
Love Is Just A Four-Letter Word,Joan Baez,87,88,87,2
"Mr. Walker, It's All Over",Billie Jo Spears,88,89,88,2
With Pen In Hand,Vikki Carr,89,,89,1
Greensleeves,Mason Williams,90,93,90,2
From Both Sides Now,Dion,91,91,91,2
A Million To One,Brian Hyland,92,99,90,5
I Can't Say No To You,Betty Everett,93,95,93,2
Seven Years,The Impressions,94,94,94,2
I've Been Loving You Too Long,Ike & Tina Turner,95,96,95,2
Marley Purt Drive,Jose Feliciano,96,,96,1
I Could Never Lie To You,The New Colony Six,97,,97,1
Never Gonna Let Him Know,Debbie Taylor,98,98,98,2
The Windmills Of Your Mind,Dusty Springfield,99,,99,1
I Want To Love You Baby,Peggy Scott & Jo Jo Benson,100,,100,1
Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,1,1,1,10
Hair,The Cowsills,2,3,2,9
It's Your Thing,The Isley Brothers,3,2,2,9
Hawaii Five-O,The Ventures,4,8,4,10
You've Made Me So Very Happy,"Blood, Sweat & Tears",5,4,2,11
Time Is Tight,Booker T. & The MG's,6,6,6,9
Sweet Cherry Wine,Tommy James And The Shondells,7,7,7,8
The Boxer,Simon & Garfunkel,8,9,8,5
Atlantis,Donovan,9,19,9,6
Get Back,The Beatles With Billy Preston,10,,10,1
