song,artist,this_week,last_week,peak_position,weeks_on_chart
"Abraham, Martin And John",Dion,16,16,4,12
If I Can Dream,Elvis Presley,17,26,17,7
Touch Me,The Doors,18,37,18,3
I Started A Joke,Bee Gees,19,40,19,4
Who's Making Love,Johnnie Taylor,20,9,5,12
Too Weak To Fight,Clarence Carter,21,13,13,10
Both Sides Now,Judy Collins,22,22,8,10
Worst That Could Happen,Brooklyn Bridge,23,38,23,4
A Ray Of Hope,The Rascals,24,32,24,6
This Is My Country,The Impressions,25,25,25,7
Everyday People,Sly & The Family Stone,26,27,26,7
Hey Jude,Wilson Pickett,27,28,27,4
Can I Change My Mind,Tyrone Davis,28,29,28,4
Magic Carpet Ride,Steppenwolf,29,24,3,15
Hey Jude,The Beatles,30,23,1,18
Hang 'Em High,Booker T. & The MG's,31,34,31,10
Scarborough Fair,Sergio Mendes & Brasil '66,32,30,16,9
Stand By Your Man,Tammy Wynette,33,33,33,10
California Soul,The 5th Dimension,34,57,34,4
There's Gonna Be A Showdown,Archie Bell & The Drells,35,35,35,5
See Saw,Aretha Franklin,36,20,14,8
Papa's Got A Brand New Bag,Otis Redding,37,21,21,7
Bella Linda,The Grass Roots,38,42,38,7
Baby Let's Wait,The Royal Guardsmen,39,39,39,9
Bring It On Home To Me,Eddie Floyd,40,19,17,13
My Song,Aretha Franklin,41,31,31,7
Are You Happy,Jerry Butler,42,43,42,6
Ready Or Not Here I Come (Can't Hide From Love),The Delfonics,43,44,43,6
Battle Hymn Of The Republic,Andy Williams with the St. Charles Borromeo Choir,44,41,33,13
My Favorite Things,Herb Alpert & The Tijuana Brass,45,46,45,5
I've Gotta Be Me,Sammy Davis Jr.,46,47,46,5
"Baby, Baby Don't Cry",Smokey Robinson & The Miracles,47,53,47,2
Build Me Up Buttercup,The Foundations,48,84,48,2
Chewy Chewy,Ohio Express,49,36,15,13
Little Arrows,Leapy Lee,50,45,16,14
The Beginning Of My End,The Unifics,51,51,51,5
California Dreamin',Bobby Womack,52,54,52,6
Crosstown Traffic,The Jimi Hendrix Experience,53,56,52,7
Ramblin' Gamblin' Man,Bob Seger System,54,65,54,4
A Minute Of Your Time,Tom Jones,55,68,55,4
"Ob-La-Di, Ob-La-Da",Arthur Conley,56,88,56,2
Malinda,Bobby Taylor & The Vancouvers,57,48,48,6
"Soul Sister, Brown Sugar",Sam & Dave,58,59,58,4
Daddy Sang Bass,Johnny Cash,59,60,59,3
Rainbow Ride,Andy Kim,60,73,60,4
The Girl Most Likely,Jeannie C. Riley,61,55,55,6
Bluebirds Over The Mountain,The Beach Boys,62,61,61,5
Feelin' So Good (S.k.o.o.b.y-D.o.o),The Archies,63,78,63,3
Does Anybody Know I'm Here,The Dells,64,66,64,3
This Magic Moment,Jay & The Americans,65,79,65,3
Rockin' In The Same Old Boat,Bobby Bland,66,58,58,9
I Can't Turn You Loose,The Chambers Brothers,67,50,37,8
Isn't It Lonely Together,O.C. Smith,68,63,63,5
Just Ain't No Love,Barbara Acklin,69,67,67,9
You Got Soul,Johnny Nash,70,72,70,5
White Houses,Eric Burdon & The Animals,71,71,67,8
You Showed Me,The Turtles,72,90,72,2
"Sweet Cream Ladies, Forward March",The Box Tops,73,85,73,3
Condition Red,The Goodees,74,74,74,4
Not On The Outside,The Moments,75,75,75,3
Electric Stories,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",76,77,76,3
Chitty Chitty Bang Bang,Paul Mauriat,77,76,76,8
I Forgot To Be Your Lover,William Bell,78,81,78,2
