song,artist,this_week,last_week,peak_position,weeks_on_chart
Look Back At It,A Boogie Wit da Hoodie,66,96,66,3
All My Friends,21 Savage,67,,67,1
BAD!,XXXTENTACION,68,52,16,7
Backin' It Up,Pardison Fontaine Featuring Cardi B,69,64,64,11
Break Da Law,21 Savage,70,,70,1
Imagine,Ariana Grande,71,24,24,2
Talk To Me,Tory Lanez & Rich The Kid,72,61,61,9
Monster,21 Savage,73,,73,1
Calling My Spirit,Kodak Black,74,46,46,4
Consequences,Camila Cabello,75,69,69,8
Armed And Dangerous,Juice WRLD,76,60,44,7
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,77,62,28,9
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,78,56,56,4
Sixteen,Thomas Rhett,79,67,67,7
Burning Man,Dierks Bentley Featuring Brothers Osborne,80,65,65,10
Beautiful Crazy,Luke Combs,81,81,58,7
When The Party's Over,Billie Eilish,82,77,52,10
Sweet But Psycho,Ava Max,83,87,83,2
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,84,66,66,11
You,Jacquees,85,75,75,5
1.5,21 Savage,86,,86,1
Girl Like You,Jason Aldean,87,71,71,5
Out For The Night,21 Savage,88,,88,1
Good Girl,Dustin Lynch,89,72,72,7
No Stylist,French Montana Featuring Drake,90,73,47,14
Lovely,Billie Eilish & Khalid,91,89,78,9
Ella Quiere Beber,Anuel AA & Romeo Santos,92,80,79,8
Gun Smoke,21 Savage,93,,93,1
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,94,,94,1
ASMR,21 Savage,95,,95,1
Last Shot,Kip Moore,96,78,78,6
Fine China,Future & Juice WRLD,97,82,26,10
Envy Me,Calboy,98,91,91,2
Lost In Japan,Shawn Mendes X Zedd,99,83,48,14
This Is It,Scotty McCreery,100,84,84,3
Without Me,Halsey,1,2,1,13
"Thank U, Next",Ariana Grande,2,1,1,9
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,3,5,3,11
Sicko Mode,Travis Scott,4,4,1,22
High Hopes,Panic! At The Disco,5,6,5,22
Happier,Marshmello & Bastille,6,7,3,20
Girls Like You,Maroon 5 Featuring Cardi B,7,14,1,32
Drip Too Hard,Lil Baby & Gunna,8,12,4,16
ZEZE,Kodak Black Featuring Travis Scott & Offset,9,15,2,12
Better Now,Post Malone,10,23,3,36
Eastside,"benny blanco, Halsey & Khalid",11,21,11,25
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,12,18,11,16
Wow.,Post Malone,13,47,13,2
Youngblood,5 Seconds Of Summer,14,24,7,31
Mo Bamba,Sheck Wes,15,17,6,19
Breathin,Ariana Grande,16,22,12,20
Money,Cardi B,17,19,13,11
Lucid Dreams,Juice WRLD,18,27,2,34
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",19,30,11,14
MIA,Bad Bunny Featuring Drake,20,31,5,12
Going Bad,Meek Mill Featuring Drake,21,36,6,5
Leave Me Alone,Flipp Dinero,22,33,22,16
Trip,Ella Mai,23,38,11,22
Speechless,Dan + Shay,24,41,24,17
Natural,Imagine Dragons,25,46,13,24
I Like It,"Cardi B, Bad Bunny & J Balvin",26,39,1,39
Love Lies,Khalid & Normani,27,48,9,46
Beautiful,Bazzi Featuring Camila Cabello,28,50,28,22
Shallow,Lady Gaga & Bradley Cooper,29,52,5,14
Better,Khalid,30,51,29,16
She Got The Best Of Me ,Luke Combs,31,54,31,21
Baby Shark,Pinkfong,32,,32,1
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,33,60,33,7
You Say,Lauren Daigle,34,59,34,25
Uproar,Lil Wayne,35,56,7,14
A Lot,21 Savage,36,37,36,2
Best Shot,Jimmie Allen,37,61,37,16
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,57,38,2
Drunk Me,Mitchell Tenpenny,39,64,39,21
Be Alright,Dean Lewis,40,63,40,10
Sweet But Psycho,Ava Max,41,83,41,3
Sixteen,Thomas Rhett,42,79,42,8
Talk To Me,Tory Lanez & Rich The Kid,43,72,43,10
Backin' It Up,Pardison Fontaine Featuring Cardi B,44,69,44,12
Burning Man,Dierks Bentley Featuring Brothers Osborne,45,80,45,11
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,46,62,31,20
Good Girl,Dustin Lynch,47,89,47,8
Beautiful Crazy,Luke Combs,48,81,48,8
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,49,78,49,5
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,50,84,50,12
Consequences,Camila Cabello,51,75,51,9
Girl Like You,Jason Aldean,52,87,52,6
Last Shot,Kip Moore,53,96,53,7
Look Back At It,A Boogie Wit da Hoodie,54,66,54,4
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,55,77,28,10
Armed And Dangerous,Juice WRLD,56,76,44,8
This Is It,Scotty McCreery,57,100,57,4
Calling My Spirit,Kodak Black,58,74,46,5
You,Jacquees,59,85,59,6
No Stylist,French Montana Featuring Drake,60,90,47,15
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,61,65,61,2
Electricity,Silk City x Dua Lipa,62,,62,7
Imagine,Ariana Grande,63,71,24,3
Ella Quiere Beber,Anuel AA & Romeo Santos,64,92,64,9
Can't Leave Without It,21 Savage,65,58,58,2
Envy Me,Calboy,66,98,66,3
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,67,,56,18
When The Party's Over,Billie Eilish,68,82,52,11
Millionaire,Chris Stapleton,69,,69,4
BAD!,XXXTENTACION,70,68,16,8
Lost In Japan,Shawn Mendes X Zedd,71,99,48,15
Pure Cocaine,Lil Baby,72,,46,4
Lovely,Billie Eilish & Khalid,73,91,73,10
Fine China,Future & Juice WRLD,74,97,26,11
Take It From Me,Jordan Davis,75,,75,1
What Makes You Country,Luke Bryan,76,,76,1
Yosemite,Travis Scott,77,,25,11
Monster,21 Savage,78,73,73,2
Blue Tacoma,Russell Dickerson,79,,52,16
Down To The Honkytonk,Jake Owen,80,,80,1
Close Friends,Lil Baby,81,,28,12
Love Someone,Lukas Graham,82,,82,1
Love Wins,Carrie Underwood,83,,83,1
KIKA,6ix9ine Featuring Tory Lanez,84,,44,5
Nuketown,Ski Mask The Slump God Featuring Juice WRLD,85,,63,4
Ruin My Life,Zara Larsson,86,,86,1
Body,Loud Luxury Featuring Brando,87,,87,1
Dip,Tyga & Nicki Minaj,88,,63,7
Good Form,Nicki Minaj Featuring Lil Wayne,89,,60,4
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,90,94,90,2
Here Tonight,Brett Young,91,,91,1
Burn Out,Midland,92,,92,1
Solo de Mi,Bad Bunny,93,,93,1
Lucky You,Eminem Featuring Joyner Lucas,94,,6,13
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,95,,95,1
whoa (mind in awe),XXXTENTACION,96,,37,3
All My Friends,21 Savage,97,67,67,2
Make It Sweet,Old Dominion,98,,98,1
Ocean Eyes,Billie Eilish,99,,96,3
idontwannabeyouanymore,Billie Eilish,100,,100,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,3,1,12
Without Me,Halsey,2,1,1,14
"Thank U, Next",Ariana Grande,3,2,1,10
Sicko Mode,Travis Scott,4,4,1,23
High Hopes,Panic! At The Disco,5,5,5,23
Happier,Marshmello & Bastille,6,6,3,21
Girls Like You,Maroon 5 Featuring Cardi B,7,7,1,33
Drip Too Hard,Lil Baby & Gunna,8,8,4,17
Eastside,"benny blanco, Halsey & Khalid",9,11,9,26
ZEZE,Kodak Black Featuring Travis Scott & Offset,10,9,2,13
Wow.,Post Malone,11,13,11,3
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,12,12,11,17
Better Now,Post Malone,13,10,3,37
Mo Bamba,Sheck Wes,14,15,6,20
Breathin,Ariana Grande,15,16,12,21
Youngblood,5 Seconds Of Summer,16,14,7,32
Money,Cardi B,17,17,13,12
Going Bad,Meek Mill Featuring Drake,18,21,6,6
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",19,19,11,15
MIA,Bad Bunny Featuring Drake,20,20,5,13
Leave Me Alone,Flipp Dinero,21,22,21,17
Lucid Dreams,Juice WRLD,22,18,2,35
Shallow,Lady Gaga & Bradley Cooper,23,29,5,15
Better,Khalid,24,30,24,17
Speechless,Dan + Shay,25,24,24,18
Trip,Ella Mai,26,23,11,23
Beautiful,Bazzi Featuring Camila Cabello,27,28,27,23
Love Lies,Khalid & Normani,28,27,9,47
Natural,Imagine Dragons,29,25,13,25
I Like It,"Cardi B, Bad Bunny & J Balvin",30,26,1,40
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,31,33,31,8
She Got The Best Of Me ,Luke Combs,32,31,31,22
A Lot,21 Savage,33,36,33,3
You Say,Lauren Daigle,34,34,34,26
Undecided,Chris Brown,35,,35,1
Uproar,Lil Wayne,36,35,7,15
Sweet But Psycho,Ava Max,37,41,37,4
Baby Shark,Pinkfong,38,32,32,2
Best Shot,Jimmie Allen,39,37,37,17
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,40,38,38,3
Beautiful Crazy,Luke Combs,41,48,41,9
Be Alright,Dean Lewis,42,40,40,11
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,43,49,43,6
Good Girl,Dustin Lynch,44,47,44,9
Sixteen,Thomas Rhett,45,42,42,9
Crushed Up,Future,46,,46,1
Burning Man,Dierks Bentley Featuring Brothers Osborne,47,45,45,12
Backin' It Up,Pardison Fontaine Featuring Cardi B,48,44,44,13
Look Back At It,A Boogie Wit da Hoodie,49,54,49,5
Girl Like You,Jason Aldean,50,52,50,7
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,51,50,50,13
Consequences,Camila Cabello,52,51,51,10
This Is It,Scotty McCreery,53,57,53,5
Armed And Dangerous,Juice WRLD,54,56,44,9
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,55,55,28,11
Calling My Spirit,Kodak Black,56,58,46,6
Talk To Me,Tory Lanez & Rich The Kid,57,43,43,11
You,Jacquees,58,59,58,7
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,59,61,59,3
Last Shot,Kip Moore,60,53,53,8
No Stylist,French Montana Featuring Drake,61,60,47,16
Electricity,Silk City x Dua Lipa,62,62,62,8
Envy Me,Calboy,63,66,63,4
Ella Quiere Beber,Anuel AA & Romeo Santos,64,64,64,10
Lovely,Billie Eilish & Khalid,65,73,65,11
Pure Cocaine,Lil Baby,66,72,46,5
Millionaire,Chris Stapleton,67,69,67,5
When The Party's Over,Billie Eilish,68,68,52,12
Take It From Me,Jordan Davis,69,75,69,2
Can't Leave Without It,21 Savage,70,65,58,3
Yosemite,Travis Scott,71,77,25,12
Fine China,Future & Juice WRLD,72,74,26,12
Imagine,Ariana Grande,73,63,24,4
What Makes You Country,Luke Bryan,74,76,74,2
Down To The Honkytonk,Jake Owen,75,80,75,2
Ruin My Life,Zara Larsson,76,86,76,2
BAD!,XXXTENTACION,77,70,16,9
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,78,67,56,19
Blue Tacoma,Russell Dickerson,79,79,52,17
Body,Loud Luxury Featuring Brando,80,87,80,2
Butterfly Doors,Lil Pump,81,,81,1
Love Someone,Lukas Graham,82,82,82,2
Space Cadet,Metro Boomin Featuring Gunna,83,,51,5
Lost In Japan,Shawn Mendes X Zedd,84,71,48,16
Love Wins,Carrie Underwood,85,83,83,2
Nuketown,Ski Mask The Slump God Featuring Juice WRLD,86,85,63,5
Valuable Pain,YoungBoy Never Broke Again,87,,87,1
Here Tonight,Brett Young,88,91,88,2
Close Friends,Lil Baby,89,81,28,13
Monster,21 Savage,90,78,73,3
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,91,95,91,2
Make It Sweet,Old Dominion,92,98,92,2
Burn Out,Midland,93,92,92,2
Good Form,Nicki Minaj Featuring Lil Wayne,94,89,60,5
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,95,90,90,3
KIKA,6ix9ine Featuring Tory Lanez,96,84,44,6
Ocean Eyes,Billie Eilish,97,99,96,4
idontwannabeyouanymore,Billie Eilish,98,100,98,2
Dip,Tyga & Nicki Minaj,99,88,63,8
Lucky You,Eminem Featuring Joyner Lucas,100,94,6,14
Without Me,Halsey,1,2,1,15
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2,1,1,13
Sicko Mode,Travis Scott,3,4,1,24
High Hopes,Panic! At The Disco,4,5,4,24
"Thank U, Next",Ariana Grande,5,3,1,11
Happier,Marshmello & Bastille,6,6,3,22
Girls Like You,Maroon 5 Featuring Cardi B,7,7,1,34
Drip Too Hard,Lil Baby & Gunna,8,8,4,18
Wow.,Post Malone,9,11,9,4
ZEZE,Kodak Black Featuring Travis Scott & Offset,10,10,2,14
Eastside,"benny blanco, Halsey & Khalid",11,9,9,27
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,12,12,11,18
Money,Cardi B,13,17,13,13
Mo Bamba,Sheck Wes,14,14,6,21
Better Now,Post Malone,15,13,3,38
Youngblood,5 Seconds Of Summer,16,16,7,33
Going Bad,Meek Mill Featuring Drake,17,18,6,7
Breathin,Ariana Grande,18,15,12,22
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",19,19,11,16
MIA,Bad Bunny Featuring Drake,20,20,5,14
Leave Me Alone,Flipp Dinero,21,21,21,18
Better,Khalid,22,24,22,18
Lucid Dreams,Juice WRLD,23,22,2,36
Shallow,Lady Gaga & Bradley Cooper,24,23,5,16
Speechless,Dan + Shay,25,25,24,19
Beautiful,Bazzi Featuring Camila Cabello,26,27,26,24
Lost In The Fire,Gesaffelstein & The Weeknd,27,,27,1
Love Lies,Khalid & Normani,28,28,9,48
Trip,Ella Mai,29,26,11,24
I Like It,"Cardi B, Bad Bunny & J Balvin",30,30,1,41
Natural,Imagine Dragons,31,29,13,26
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,32,31,31,9
Dancing With A Stranger,Sam Smith & Normani,33,,33,1
A Lot,21 Savage,34,33,33,4
You Say,Lauren Daigle,35,34,34,27
Sweet But Psycho,Ava Max,36,37,36,5
Baby Shark,Pinkfong,37,38,32,3
She Got The Best Of Me ,Luke Combs,38,32,31,23
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,39,40,38,4
Look Back At It,A Boogie Wit da Hoodie,40,49,40,6
Envy Me,Calboy,41,63,41,5
Beautiful Crazy,Luke Combs,42,41,41,10
Sixteen,Thomas Rhett,43,45,42,10
Be Alright,Dean Lewis,44,42,40,12
Backin' It Up,Pardison Fontaine Featuring Cardi B,45,48,44,14
Girl Like You,Jason Aldean,46,50,46,8
Burning Man,Dierks Bentley Featuring Brothers Osborne,47,47,45,13
Best Shot,Jimmie Allen,48,39,37,18
Uproar,Lil Wayne,49,36,7,16
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,50,43,43,7
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,51,51,50,14
This Is It,Scotty McCreery,52,53,52,6
Good Girl,Dustin Lynch,53,44,44,10
Twerk,City Girls Featuring Cardi B,54,,54,2
Calling My Spirit,Kodak Black,55,56,46,7
Undecided,Chris Brown,56,35,35,2
Saturday Nights,Khalid & Kane Brown,57,,57,2
Armed And Dangerous,Juice WRLD,58,54,44,10
Crushed Up,Future,59,46,46,2
Consequences,Camila Cabello,60,52,51,11
You,Jacquees,61,58,58,8
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,62,55,28,12
No Stylist,French Montana Featuring Drake,63,61,47,17
Lovely,Billie Eilish & Khalid,64,65,64,12
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,65,59,59,4
Ella Quiere Beber,Anuel AA & Romeo Santos,66,64,64,11
Pure Cocaine,Lil Baby,67,66,46,6
Electricity,Silk City x Dua Lipa,68,62,62,9
Nights Like This,Kehlani Featuring Ty Dolla $ign,69,,69,1
Yosemite,Travis Scott,70,71,25,13
Millionaire,Chris Stapleton,71,67,67,6
Talk To Me,Tory Lanez & Rich The Kid,72,57,43,12
What Makes You Country,Luke Bryan,73,74,73,3
When The Party's Over,Billie Eilish,74,68,52,13
Thotiana,Blueface,75,,75,1
Take It From Me,Jordan Davis,76,69,69,3
Ruin My Life,Zara Larsson,77,76,76,3
Down To The Honkytonk,Jake Owen,78,75,75,3
Let Me Down Slowly,Alec Benjamin + Alessia Cara,79,,79,1
Jumpin On A Jet,Future,80,,80,1
Love Someone,Lukas Graham,81,82,81,3
Body,Loud Luxury Featuring Brando,82,80,80,3
Fine China,Future & Juice WRLD,83,72,26,13
Nuketown,Ski Mask The Slump God Featuring Juice WRLD,84,86,63,6
BAD!,XXXTENTACION,85,77,16,10
Love Wins,Carrie Underwood,86,85,83,3
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,87,91,87,3
Space Cadet,Metro Boomin Featuring Gunna,88,83,51,6
Butterfly Doors,Lil Pump,89,81,81,2
Valuable Pain,YoungBoy Never Broke Again,90,87,87,2
Blue Tacoma,Russell Dickerson,91,79,52,18
Close Friends,Lil Baby,92,89,28,14
Can't Leave Without It,21 Savage,93,70,58,4
Good Form,Nicki Minaj Featuring Lil Wayne,94,94,60,6
Here Tonight,Brett Young,95,88,88,3
idontwannabeyouanymore,Billie Eilish,96,98,96,3
Ocean Eyes,Billie Eilish,97,97,96,5
Burn Out,Midland,98,93,92,3
Splashin,Rich The Kid,99,,99,1
Make It Sweet,Old Dominion,100,92,92,3
7 Rings,Ariana Grande,1,,1,1
Without Me,Halsey,2,1,1,16
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,3,2,1,14
"Thank U, Next",Ariana Grande,4,5,1,12
Sicko Mode,Travis Scott,5,3,1,25
High Hopes,Panic! At The Disco,6,4,4,25
Happier,Marshmello & Bastille,7,6,3,23
Wow.,Post Malone,8,9,8,5
Girls Like You,Maroon 5 Featuring Cardi B,9,7,1,35
Drip Too Hard,Lil Baby & Gunna,10,8,4,19
Eastside,"benny blanco, Halsey & Khalid",11,11,9,28
ZEZE,Kodak Black Featuring Travis Scott & Offset,12,10,2,15
Money,Cardi B,13,13,13,14
Going Bad,Meek Mill Featuring Drake,14,17,6,8
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,15,12,11,19
Mo Bamba,Sheck Wes,16,14,6,22
Youngblood,5 Seconds Of Summer,17,16,7,34
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",18,19,11,17
MIA,Bad Bunny Featuring Drake,19,20,5,15
Better Now,Post Malone,20,15,3,39
Leave Me Alone,Flipp Dinero,21,21,21,19
Breathin,Ariana Grande,22,18,12,23
Better,Khalid,23,22,22,19
Shallow,Lady Gaga & Bradley Cooper,24,24,5,17
Lucid Dreams,Juice WRLD,25,23,2,37
Middle Child,J. Cole,26,,26,1
Beautiful,Bazzi Featuring Camila Cabello,27,26,26,25
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,28,32,28,10
Twerk,City Girls Featuring Cardi B,29,54,29,3
Trip,Ella Mai,30,29,11,25
Speechless,Dan + Shay,31,25,24,20
Love Lies,Khalid & Normani,32,28,9,49
Lost In The Fire,Gesaffelstein & The Weeknd,33,27,27,2
A Lot,21 Savage,34,34,33,5
Sweet But Psycho,Ava Max,35,36,35,6
Baby Shark,Pinkfong,36,37,32,4
I Like It,"Cardi B, Bad Bunny & J Balvin",37,30,1,42
Keanu Reeves,Logic,38,,38,1
You Say,Lauren Daigle,39,35,34,28
Backin' It Up,Pardison Fontaine Featuring Cardi B,40,45,40,15
Dancing With A Stranger,Sam Smith & Normani,41,33,33,2
Beautiful Crazy,Luke Combs,42,42,41,11
Crushed Up,Future,43,59,43,3
Look Back At It,A Boogie Wit da Hoodie,44,40,40,7
Envy Me,Calboy,45,41,41,6
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,46,39,38,5
First Off,Future Featuring Travis Scott,47,,47,1
Burning Man,Dierks Bentley Featuring Brothers Osborne,48,47,45,14
Sixteen,Thomas Rhett,49,43,42,11
Natural,Imagine Dragons,50,31,13,27
Girl Like You,Jason Aldean,51,46,46,9
Be Alright,Dean Lewis,52,44,40,13
This Is It,Scotty McCreery,53,52,52,7
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,54,50,43,8
Undecided,Chris Brown,55,56,35,3
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,56,51,50,15
Jumpin On A Jet,Future,57,80,57,2
Good Girl,Dustin Lynch,58,53,44,11
Uproar,Lil Wayne,59,49,7,17
Best Shot,Jimmie Allen,60,48,37,19
Ella Quiere Beber,Anuel AA & Romeo Santos,61,66,61,12
Calling My Spirit,Kodak Black,62,55,46,8
Armed And Dangerous,Juice WRLD,63,58,44,11
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,64,62,28,13
Never Stop,Future,65,,65,1
Thotiana,Blueface,66,75,66,2
You,Jacquees,67,61,58,9
Secreto,Anuel AA & Karol G,68,,68,1
No Stylist,French Montana Featuring Drake,69,63,47,18
What Makes You Country,Luke Bryan,70,73,70,4
Mixed Personalities,YNW Melly Featuring Kanye West,71,,71,1
Consequences,Camila Cabello,72,60,51,12
Millionaire,Chris Stapleton,73,71,67,7
Yosemite,Travis Scott,74,70,25,14
Saturday Nights,Khalid & Kane Brown,75,57,57,3
Temptation,Future,76,,76,1
Ruin My Life,Zara Larsson,77,77,76,4
Take It From Me,Jordan Davis,78,76,69,4
Rocket Ship,Future,79,,79,1
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,80,65,59,5
Pure Water,Mustard & Migos,81,,81,1
Lovely,Billie Eilish & Khalid,82,64,64,13
F&N,Future,83,,83,1
Down To The Honkytonk,Jake Owen,84,78,75,4
Body,Loud Luxury Featuring Brando,85,82,80,4
Love Someone,Lukas Graham,86,81,81,4
When The Party's Over,Billie Eilish,87,74,52,14
Nights Like This,Kehlani Featuring Ty Dolla $ign,88,69,69,2
Pure Cocaine,Lil Baby,89,67,46,7
Electricity,Silk City x Dua Lipa,90,68,62,10
On My Way To You,Cody Johnson,91,,91,1
Make It Sweet,Old Dominion,92,100,92,4
Love Wins,Carrie Underwood,93,86,83,4
Talk To Me,Tory Lanez & Rich The Kid,94,72,43,13
Murder On My Mind,YNW Melly,95,,95,1
GIRL,Maren Morris,96,,96,1
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,97,87,87,4
Face My Fears,Hikaru Utada & Skrillex,98,,98,1
Imagine,Ariana Grande,99,,24,5
Call The Coroner,Future,100,,100,1
7 Rings,Ariana Grande,1,1,1,2
Without Me,Halsey,2,2,1,17
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,3,3,1,15
Middle Child,J. Cole,4,26,4,2
Sicko Mode,Travis Scott,5,5,1,26
"Thank U, Next",Ariana Grande,6,4,1,13
High Hopes,Panic! At The Disco,7,6,4,26
Happier,Marshmello & Bastille,8,7,3,24
Wow.,Post Malone,9,8,8,6
Girls Like You,Maroon 5 Featuring Cardi B,10,9,1,36
Eastside,"benny blanco, Halsey & Khalid",11,11,9,29
Drip Too Hard,Lil Baby & Gunna,12,10,4,20
Money,Cardi B,13,13,13,15
ZEZE,Kodak Black Featuring Travis Scott & Offset,14,12,2,16
Going Bad,Meek Mill Featuring Drake,15,14,6,9
Shallow,Lady Gaga & Bradley Cooper,16,24,5,18
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,17,15,11,20
Mo Bamba,Sheck Wes,18,16,6,23
Better Now,Post Malone,19,20,3,40
Leave Me Alone,Flipp Dinero,20,21,20,20
Youngblood,5 Seconds Of Summer,21,17,7,35
MIA,Bad Bunny Featuring Drake,22,19,5,16
Better,Khalid,23,23,22,20
