song,artist,this_week,last_week,peak_position,weeks_on_chart
"Thank U, Next",Ariana Grande,1,1,1,8
Without Me,Halsey,2,2,2,12
All I Want For Christmas Is You,Mariah Carey,3,7,3,30
Sicko Mode,Travis Scott,4,3,1,21
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,5,4,4,10
High Hopes,Panic! At The Disco,6,6,5,21
Happier,Marshmello & Bastille,7,5,3,19
Jingle Bell Rock,Bobby Helms,8,13,8,25
Rockin' Around The Christmas Tree,Brenda Lee,9,11,9,27
A Holly Jolly Christmas,Burl Ives,10,12,10,10
The Christmas Song (Merry Christmas To You),Nat King Cole,11,17,11,17
Drip Too Hard,Lil Baby & Gunna,12,9,4,15
It's The Most Wonderful Time Of The Year,Andy Williams,13,10,10,10
Girls Like You,Maroon 5 Featuring Cardi B,14,15,1,31
ZEZE,Kodak Black Featuring Travis Scott & Offset,15,8,2,11
Rudolph The Red-Nosed Reindeer,Gene Autry,16,28,16,4
Mo Bamba,Sheck Wes,17,16,6,18
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,18,14,11,15
Money,Cardi B,19,30,13,10
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,20,32,20,4
Eastside,"benny blanco, Halsey & Khalid",21,18,16,24
Breathin,Ariana Grande,22,19,12,19
Better Now,Post Malone,23,21,3,35
Youngblood,5 Seconds Of Summer,24,20,7,30
Last Christmas,Wham!,25,27,25,9
Sleigh Ride,The Ronettes,26,33,26,3
Lucid Dreams,Juice WRLD,27,23,2,33
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,28,35,28,3
Feliz Navidad,Jose Feliciano,29,34,29,5
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",30,25,11,13
MIA,Bad Bunny Featuring Drake,31,26,5,11
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,32,41,32,2
Leave Me Alone,Flipp Dinero,33,31,27,15
White Christmas,Bing Crosby,34,48,12,15
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,35,42,35,2
Going Bad,Meek Mill Featuring Drake,36,22,6,4
A Lot,21 Savage,37,,37,1
Trip,Ella Mai,38,29,11,21
I Like It,"Cardi B, Bad Bunny & J Balvin",39,40,1,38
Blue Christmas,Elvis Presley,40,,40,1
Speechless,Dan + Shay,41,36,33,16
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,42,45,42,2
Christmas (Baby Please Come Home),Darlene Love,43,50,43,2
Underneath The Tree,Kelly Clarkson,44,,44,4
Run Rudolph Run,Chuck Berry,45,,45,4
Natural,Imagine Dragons,46,43,13,23
Wow.,Post Malone,47,,47,1
Love Lies,Khalid & Normani,48,37,9,45
Jingle Bells,Frank Sinatra,49,,49,1
Beautiful,Bazzi Featuring Camila Cabello,50,38,30,21
Better,Khalid,51,39,29,15
Shallow,Lady Gaga & Bradley Cooper,52,44,5,13
Cozy Little Christmas,Katy Perry,53,68,53,2
She Got The Best Of Me ,Luke Combs,54,51,34,20
The Christmas Song,Lauren Daigle,55,90,55,2
Uproar,Lil Wayne,56,49,7,13
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,57,,57,1
Can't Leave Without It,21 Savage,58,,58,1
You Say,Lauren Daigle,59,59,44,24
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,60,57,57,6
Best Shot,Jimmie Allen,61,55,46,15
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,62,53,31,19
Be Alright,Dean Lewis,63,63,63,9
Drunk Me,Mitchell Tenpenny,64,54,53,20
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,65,,65,1
